Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-11-09,9,10,24.251,PIT,IND,True,8,4,29,7.25,0,50.0%,3.63,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,4,40,10.00,0,,0,0,0,,0,0,0,0,,,,,,,False,False,20,24,Santonio Holmes
2008,2008-11-16,10,11,24.258,PIT,SDG,True,9,5,63,12.60,0,55.6%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,11,10,Santonio Holmes
2008,2008-11-20,11,12,24.262,PIT,CIN,True,9,5,84,16.80,0,55.6%,9.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,,0,0,0,,0,0,0,0,,,,,,,False,True,27,10,Santonio Holmes
2008,2008-11-30,12,13,24.272,PIT,NWE,True,6,2,28,14.00,1,33.3%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,29,29.00,0,,1,6,0,,0,0,0,0,,,,,,,True,True,33,10,Santonio Holmes
2008,2008-12-07,13,14,24.279,PIT,DAL,True,6,3,82,27.33,0,50.0%,13.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,35,35.00,0,,0,0,0,,0,0,0,0,,,,,,,False,True,20,13,Santonio Holmes
2008,2008-12-14,14,15,24.286,PIT,BAL,True,7,3,21,7.00,1,42.9%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,5,1.67,0,,1,6,2,2,0,0,0,0,,,,,,,True,True,13,9,Santonio Holmes
2008,2008-12-21,15,16,24.293,PIT,TEN,True,7,5,93,18.60,1,71.4%,13.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,2,1.00,0,,1,6,0,,0,1,0,0,,,,,,,True,False,14,31,Santonio Holmes
2008,2008-12-28,16,17,24.300,PIT,CLE,True,8,3,31,10.33,0,37.5%,3.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,16,4.00,0,,0,0,1,0,0,1,0,0,,,,,,,False,True,31,0,Santonio Holmes
2009,2009-09-10,1,1,25.191,PIT,TEN,True,11,9,131,14.56,1,81.8%,11.91,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,13,10,Santonio Holmes
2009,2009-09-20,2,2,25.201,PIT,CHI,True,14,5,83,16.60,0,35.7%,5.93,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,14,17,Santonio Holmes
