Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-16,14,15,28.091,ATL,NYG,False,3,3,83,27.67,0,100.0%,27.67,1,-1,-1.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,32,47%,0,0%,0,0%,False,True,34,0,Harry Douglas
2012,2012-12-22,15,16,28.097,ATL,DET,False,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,30,54%,0,0%,0,0%,True,True,31,18,Harry Douglas
2012,2012-12-30,16,17,28.105,ATL,TAM,False,8,4,21,5.25,1,50.0%,2.63,0,0,,0,0,0,,0,4,42,10.50,0,,1,6,0,0,0,0,0,0,48,76%,0,0%,5,17%,False,False,17,22,Harry Douglas
2013,2013-09-08,1,1,28.357,ATL,NOR,False,6,4,93,23.25,0,66.7%,15.50,0,0,,0,0,0,,0,2,21,10.50,0,,0,0,1,0,0,0,0,0,45,80%,0,0%,3,11%,True,False,17,23,Harry Douglas
2013,2013-09-15,2,2,28.364,ATL,STL,False,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,2,4,2.00,0,,0,0,0,0,0,0,0,0,50,78%,0,0%,8,25%,False,True,31,24,Harry Douglas
2013,2013-09-22,3,3,29.006,ATL,MIA,False,6,1,9,9.00,0,16.7%,1.50,0,0,,0,0,0,,0,3,4,1.33,0,,0,0,1,1,0,0,0,0,41,58%,0,0%,3,11%,True,False,23,27,Harry Douglas
2013,2013-09-29,4,4,29.013,ATL,NWE,True,6,5,68,13.60,0,83.3%,11.33,0,0,,0,0,0,,0,1,6,6.00,0,,0,0,0,0,0,0,0,0,69,91%,0,0%,2,7%,False,False,23,30,Harry Douglas
2013,2013-10-07,5,5,29.021,ATL,NYJ,False,4,2,6,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,2,22,11.00,0,,0,0,0,0,0,0,0,0,38,50%,0,0%,3,11%,False,False,28,30,Harry Douglas
2013,2013-10-20,6,7,29.034,ATL,TAM,True,7,7,149,21.29,1,100.0%,21.29,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,42,91%,0,0%,2,7%,False,True,31,23,Harry Douglas
2013,2013-10-27,7,8,29.041,ATL,ARI,True,18,12,121,10.08,0,66.7%,6.72,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,74,89%,0,0%,0,0%,True,False,13,27,Harry Douglas
2013,2013-11-03,8,9,29.048,ATL,CAR,True,5,3,82,27.33,0,60.0%,16.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,48,96%,0,0%,0,0%,True,False,10,34,Harry Douglas
2013,2013-11-10,9,10,29.055,ATL,SEA,True,8,7,49,7.00,0,87.5%,6.13,0,0,,0,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,57,98%,0,0%,0,0%,False,False,10,33,Harry Douglas
2013,2013-11-17,10,11,29.062,ATL,TAM,True,9,6,134,22.33,1,66.7%,14.89,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,68,96%,0,0%,0,0%,True,False,28,41,Harry Douglas
2013,2013-11-21,11,12,29.066,ATL,NOR,True,11,9,79,8.78,0,81.8%,7.18,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,99%,0,0%,0,0%,False,False,13,17,Harry Douglas
2013,2013-12-01,12,13,29.076,ATL,BUF,True,15,6,73,12.17,0,40.0%,4.87,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,79,90%,0,0%,0,0%,True,True,34,31,Harry Douglas
2013,2013-12-08,13,14,29.083,ATL,GNB,True,7,2,20,10.00,0,28.6%,2.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,93%,0,0%,0,0%,True,False,21,22,Harry Douglas
2013,2013-12-15,14,15,29.090,ATL,WAS,True,7,5,37,7.40,0,71.4%,5.29,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,62,91%,0,0%,1,3%,False,True,27,26,Harry Douglas
2013,2013-12-23,15,16,29.098,ATL,SFO,False,9,5,46,9.20,0,55.6%,5.11,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,89%,0,0%,0,0%,True,False,24,34,Harry Douglas
2013,2013-12-29,16,17,29.104,ATL,CAR,True,9,7,58,8.29,0,77.8%,6.44,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,94%,0,0%,0,0%,False,False,20,21,Harry Douglas
2014,2014-09-07,1,1,29.356,ATL,NOR,True,7,6,69,11.50,0,85.7%,9.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,92%,0,0%,0,0%,False,True,37,34,Harry Douglas
2014,2014-09-14,2,2,29.363,ATL,CIN,False,8,4,38,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,76%,0,0%,0,0%,True,False,10,24,Harry Douglas
2014,2014-09-18,3,3,30.002,ATL,TAM,True,2,2,14,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,31,46%,0,0%,0,0%,False,True,56,14,Harry Douglas
2014,2014-09-28,4,4,,ATL,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,28,41,Harry Douglas
2014,2014-10-05,5,5,,ATL,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,20,30,Harry Douglas
2014,2014-10-12,6,6,,ATL,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,13,27,Harry Douglas
2014,2014-10-19,7,7,,ATL,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,29,Harry Douglas
2014,2014-10-26,8,8,30.040,ATL,DET,False,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,28,47%,0,0%,0,0%,False,False,21,22,Harry Douglas
2014,2014-11-09,9,10,30.054,ATL,TAM,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,1,0,2,0,0,0,0,0,0,31,47%,0,0%,0,0%,True,True,27,17,Harry Douglas
2014,2014-11-16,10,11,30.061,ATL,CAR,False,4,4,46,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,48,65%,0,0%,0,0%,True,True,19,17,Harry Douglas
2014,2014-11-23,11,12,30.068,ATL,CLE,False,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,65%,0,0%,0,0%,False,False,24,26,Harry Douglas
2014,2014-11-30,12,13,30.075,ATL,ARI,True,12,9,116,12.89,0,75.0%,9.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,54,68%,0,0%,1,3%,False,True,29,18,Harry Douglas
2014,2014-12-08,13,14,30.083,ATL,GNB,True,3,2,11,5.50,1,66.7%,3.67,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,51,76%,0,0%,0,0%,True,False,37,43,Harry Douglas
2014,2014-12-14,14,15,30.089,ATL,PIT,True,14,10,131,13.10,0,71.4%,9.36,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,83%,0,0%,0,0%,False,False,20,27,Harry Douglas
2014,2014-12-21,15,16,30.096,ATL,NOR,True,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,63%,0,0%,0,0%,True,True,30,14,Harry Douglas
2014,2014-12-28,16,17,30.103,ATL,CAR,False,6,5,28,5.60,0,83.3%,4.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,83%,0,0%,0,0%,False,False,3,34,Harry Douglas
2015,2015-09-13,1,1,30.362,TEN,TAM,True,2,2,24,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,28,50%,0,0%,1,4%,True,True,42,14,Harry Douglas
2015,2015-09-20,2,2,31.004,TEN,CLE,True,8,1,9,9.00,0,12.5%,1.13,1,-6,-6.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,85%,0,0%,0,0%,True,False,14,28,Harry Douglas
2015,2015-09-27,3,3,31.011,TEN,IND,True,6,3,20,6.67,0,50.0%,3.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,58,72%,0,0%,1,3%,False,False,33,35,Harry Douglas
2015,2015-10-11,4,5,31.025,TEN,BUF,True,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,58%,0,0%,0,0%,False,False,13,14,Harry Douglas
2015,2015-10-18,5,6,31.032,TEN,MIA,True,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,36,52%,0,0%,0,0%,False,False,10,38,Harry Douglas
2015,2015-10-25,6,7,,TEN,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,7,10,Harry Douglas
