Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-30,4,4,34.245,TEN,HOU,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,16%,True,False,14,38,Rob Bironas
2012,2012-10-07,5,5,34.252,TEN,MIN,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,12%,True,False,7,30,Rob Bironas
2012,2012-10-11,6,6,34.256,TEN,PIT,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,34%,False,True,26,23,Rob Bironas
2012,2012-10-21,7,7,34.266,TEN,BUF,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,41%,True,True,35,34,Rob Bironas
2012,2012-10-28,8,8,34.273,TEN,IND,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,41%,False,False,13,19,Rob Bironas
2012,2012-11-04,9,9,34.280,TEN,CHI,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,14%,False,False,20,51,Rob Bironas
2012,2012-11-11,10,10,34.287,TEN,MIA,False,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,15,52%,True,True,37,3,Rob Bironas
2012,2012-11-25,11,12,34.301,TEN,JAX,False,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,40%,True,False,19,24,Rob Bironas
2012,2012-12-02,12,13,34.308,TEN,HOU,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,False,False,10,24,Rob Bironas
2012,2012-12-09,13,14,34.315,TEN,IND,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,40%,True,False,23,27,Rob Bironas
2012,2012-12-17,14,15,34.323,TEN,NYJ,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,22%,False,True,14,10,Rob Bironas
2012,2012-12-23,15,16,34.329,TEN,GNB,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,9%,True,False,7,55,Rob Bironas
