Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2004,2004-09-09,1,1,23.266,NWE,,IND,W 27-24,True,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ben Watson
2004,2004-09-19,2,2,,NWE,@,ARI,W 23-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ben Watson
2004,2004-10-03,3,4,,NWE,@,BUF,W 31-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Ben Watson
2004,2004-10-10,4,5,,NWE,,MIA,W 24-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Ben Watson
2004,2004-10-17,5,6,,NWE,,SEA,W 30-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Ben Watson
2004,2004-10-24,6,7,,NWE,,NYJ,W 13-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Ben Watson
2004,2004-10-31,7,8,,NWE,@,PIT,L 20-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Ben Watson
2004,2004-11-07,8,9,,NWE,@,STL,W 40-22,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Ben Watson
2004,2004-11-14,9,10,,NWE,,BUF,W 29-6,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Ben Watson
2004,2004-11-22,10,11,,NWE,@,KAN,W 27-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Ben Watson
2004,2004-11-28,11,12,,NWE,,BAL,W 24-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Ben Watson
2004,2004-12-05,12,13,,NWE,@,CLE,W 42-15,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Ben Watson
2004,2004-12-12,13,14,,NWE,,CIN,W 35-28,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Ben Watson
2004,2004-12-20,14,15,,NWE,@,MIA,L 28-29,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Ben Watson
2004,2004-12-26,15,16,,NWE,@,NYJ,W 23-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Ben Watson
2004,2005-01-02,16,17,,NWE,,SFO,W 21-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Ben Watson
2005,2005-09-08,1,1,24.264,NWE,,OAK,W 30-20,True,5,2,55,27.50,0,40.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ben Watson
2005,2005-09-18,2,2,24.274,NWE,@,CAR,L 17-27,True,5,1,7,7.00,0,20.0%,1.40,0,0,,0,0,0,,0,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,True,Ben Watson
2005,2005-09-25,3,3,24.281,NWE,@,PIT,W 23-20,True,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ben Watson
2005,2005-10-02,4,4,24.288,NWE,,SDG,L 17-41,False,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ben Watson
2005,2005-10-09,5,5,24.295,NWE,@,ATL,W 31-28,True,1,1,33,33.00,1,100.0%,33.00,0,0,,0,0,0,,0,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ben Watson
2005,2005-10-16,6,6,24.302,NWE,@,DEN,L 20-28,False,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ben Watson
2005,2005-10-30,7,8,24.316,NWE,,BUF,W 21-16,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ben Watson
2005,2005-11-07,8,9,24.324,NWE,,IND,L 21-40,True,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ben Watson
2005,2005-11-13,9,10,24.330,NWE,@,MIA,W 23-16,False,5,3,37,12.33,2,60.0%,7.40,0,0,,0,0,0,,0,2,12,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ben Watson
2005,2005-11-20,10,11,24.337,NWE,,NOR,W 24-17,False,4,4,66,16.50,0,100.0%,16.50,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ben Watson
2005,2005-11-27,11,12,24.344,NWE,@,KAN,L 16-26,True,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ben Watson
2005,2005-12-04,12,13,24.351,NWE,,NYJ,W 16-3,True,5,2,43,21.50,0,40.0%,8.60,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ben Watson
2005,2005-12-11,13,14,24.358,NWE,@,BUF,W 35-7,False,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ben Watson
2005,2005-12-17,14,15,,NWE,,TAM,W 28-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ben Watson
2005,2005-12-26,15,16,25.008,NWE,@,NYJ,W 31-21,True,3,2,37,18.50,0,66.7%,12.33,0,0,,0,1,1,1.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ben Watson
2005,2006-01-01,16,17,25.014,NWE,,MIA,L 26-28,True,4,2,39,19.50,1,50.0%,9.75,0,0,,0,0,0,,0,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ben Watson
