Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-12-21,15,16,,CAR,@,NYG,L 28-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Moore
2008,2008-12-28,16,17,,CAR,@,NOR,W 33-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Moore
2009,2009-09-13,1,1,25.035,CAR,,PHI,L 10-38,False,6,11,54.55,63,0,1,33.5,1,10,5.73,1.64,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Matt Moore
2009,2009-09-20,2,2,,CAR,@,ATL,L 20-28,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Moore
2009,2009-09-28,3,3,,CAR,@,DAL,L 7-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Moore
2009,2009-10-11,4,5,,CAR,,WAS,W 20-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Moore
2009,2009-10-18,5,6,,CAR,@,TAM,W 28-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Moore
2009,2009-10-25,6,7,,CAR,,BUF,L 9-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Moore
2009,2009-11-01,7,8,25.084,CAR,@,ARI,W 34-21,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,,,,True,Matt Moore
2009,2009-11-08,8,9,,CAR,@,NOR,L 20-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Moore
2009,2009-11-15,9,10,,CAR,,ATL,W 28-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Moore
2009,2009-11-19,10,11,,CAR,,MIA,L 17-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Moore
2009,2009-11-29,11,12,,CAR,@,NYJ,L 6-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Moore
2009,2009-12-06,12,13,25.119,CAR,,TAM,W 16-6,True,14,20,70.00,161,0,1,73.1,1,9,8.05,5.80,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,,,,False,Matt Moore
2009,2009-12-13,13,14,25.126,CAR,@,NWE,L 10-20,True,15,30,50.00,197,1,0,82.2,2,18,6.57,7.23,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Matt Moore
2009,2009-12-20,14,15,25.133,CAR,,MIN,W 26-7,True,21,33,63.64,299,3,0,123.2,2,26,9.06,10.88,5,-2,-0.40,0,0,0,2,0,0,1,-2,0,,,,,,,False,Matt Moore
2009,2009-12-27,15,16,25.140,CAR,@,NYG,W 41-9,True,15,20,75.00,171,3,0,139.8,1,2,8.55,11.55,4,2,0.50,0,0,0,0,,0,0,0,0,,,,,,,True,Matt Moore
2009,2010-01-03,16,17,25.147,CAR,,NOR,W 23-10,True,14,23,60.87,162,1,0,96.6,2,13,7.04,7.91,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,,,,False,Matt Moore
2010,2010-09-12,1,1,26.034,CAR,@,NYG,L 18-31,True,14,33,42.42,182,1,3,32.6,4,34,5.52,2.03,2,15,7.50,0,0,0,2,1,0,0,0,0,,,,,,,True,Matt Moore
2010,2010-09-19,2,2,26.041,CAR,,TAM,L 7-20,True,6,16,37.50,125,1,1,60.7,4,25,7.81,6.25,1,2,2.00,0,0,0,1,1,0,0,0,0,,,,,,,False,Matt Moore
2010,2010-09-26,3,3,,CAR,,CIN,L 7-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Moore
2010,2010-10-03,4,4,,CAR,@,NOR,L 14-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Moore
2010,2010-10-10,5,5,26.062,CAR,,CHI,L 6-23,False,5,10,50.00,35,0,2,18.7,0,0,3.50,-5.50,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Matt Moore
2010,2010-10-24,6,7,26.076,CAR,,SFO,W 23-20,True,28,41,68.29,308,2,1,96.4,1,5,7.51,7.39,1,3,3.00,0,0,0,0,,0,0,0,0,,,,,,,False,Matt Moore
2010,2010-10-31,7,8,26.083,CAR,@,STL,L 10-20,True,23,37,62.16,194,1,3,51.0,3,18,5.24,2.14,1,5,5.00,0,0,0,1,0,0,0,0,0,,,,,,,True,Matt Moore
2010,2010-11-07,8,9,26.090,CAR,,NOR,L 3-34,True,3,6,50.00,13,0,0,56.2,1,8,2.17,2.17,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Matt Moore
2010,2010-11-14,9,10,,CAR,@,TAM,L 16-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Matt Moore
2010,2010-11-21,10,11,,CAR,,BAL,L 13-37,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Matt Moore
