Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-12-15,14,15,24.098,DAL,,GNB,L 36-37,False,5,4,46,11.50,0,80.0%,9.20,0,0,,0,2,46,23.00,0,,0,0,0,0,0,0,0,0,51,70%,0,0%,6,17%,False,Terrance Williams
2013,2013-12-22,15,16,24.105,DAL,@,WAS,W 24-23,True,6,4,84,21.00,0,66.7%,14.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,27,51%,0,0%,0,0%,True,Terrance Williams
2013,2013-12-29,16,17,24.112,DAL,,PHI,L 22-24,True,2,1,39,39.00,0,50.0%,19.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,62%,0,0%,4,15%,False,Terrance Williams
2014,2014-09-07,1,1,24.364,DAL,,SFO,L 17-28,True,7,4,50,12.50,1,57.1%,7.14,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,60,87%,0,0%,0,0%,False,Terrance Williams
2014,2014-09-14,2,2,25.006,DAL,@,TEN,W 26-10,True,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,74%,0,0%,0,0%,True,Terrance Williams
2014,2014-09-21,3,3,25.013,DAL,@,STL,W 34-31,True,3,2,32,16.00,1,66.7%,10.67,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,46,82%,0,0%,0,0%,True,Terrance Williams
2014,2014-09-28,4,4,25.020,DAL,,NOR,W 38-17,True,7,6,77,12.83,2,85.7%,11.00,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,54,82%,0,0%,0,0%,False,Terrance Williams
2014,2014-10-05,5,5,25.027,DAL,,HOU,W 20-17,True,6,2,71,35.50,1,33.3%,11.83,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,66,87%,0,0%,0,0%,False,Terrance Williams
2014,2014-10-12,6,6,25.034,DAL,@,SEA,W 30-23,True,2,2,70,35.00,0,100.0%,35.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,68%,0,0%,0,0%,True,Terrance Williams
2014,2014-10-19,7,7,25.041,DAL,,NYG,W 31-21,True,3,1,18,18.00,1,33.3%,6.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,42,68%,0,0%,0,0%,False,Terrance Williams
