Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-12-24,15,16,23.127,MIN,GNB,True,2,2,110,55.00,1,100.0%,55.00,2,11,5.50,0,0,0,,0,3,3,1.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,31,34,Nate Burleson
2004,2005-01-02,16,17,23.136,MIN,WAS,True,9,4,49,12.25,0,44.4%,5.44,0,0,,0,0,0,,0,2,14,7.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,18,21,Nate Burleson
2005,2005-09-11,1,1,24.023,MIN,TAM,True,7,3,45,15.00,0,42.9%,6.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,1,0,0,,,,,,,False,False,13,24,Nate Burleson
2005,2005-09-18,2,2,24.030,MIN,CIN,True,6,3,48,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,False,8,37,Nate Burleson
2005,2005-09-25,3,3,,MIN,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,33,16,Nate Burleson
2005,2005-10-02,4,4,,MIN,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,30,Nate Burleson
2005,2005-10-16,5,6,,MIN,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,3,28,Nate Burleson
2005,2005-10-23,6,7,24.065,MIN,GNB,True,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,1,0,0,,,,,,,False,True,23,20,Nate Burleson
2005,2005-10-30,7,8,24.072,MIN,CAR,True,3,1,6,6.00,0,33.3%,2.00,1,-2,-2.00,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,13,38,Nate Burleson
2005,2005-11-06,8,9,24.079,MIN,DET,True,3,2,16,8.00,1,66.7%,5.33,0,0,,0,0,0,,0,1,4,4.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,27,14,Nate Burleson
