Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-23,3,3,30.241,CLE,BUF,False,0,0,,0,0.0,0,1,1,0,0,8,336,42.00,0,0,0%,0,0%,10,36%,False,False,14,24,Reggie Hodges
2012,2012-09-27,4,4,30.245,CLE,BAL,False,0,0,,0,0.0,0,0,0,0,0,7,290,41.43,0,0,0%,0,0%,11,33%,True,False,16,23,Reggie Hodges
2012,2012-10-07,5,5,30.255,CLE,NYG,False,0,0,,0,0.0,0,0,0,,,3,144,48.00,0,0,0%,0,0%,8,27%,True,False,27,41,Reggie Hodges
2012,2012-10-14,6,6,30.262,CLE,CIN,False,0,0,,0,0.0,0,3,3,,,8,354,44.25,0,0,0%,0,0%,14,38%,False,True,34,24,Reggie Hodges
2012,2012-10-21,7,7,30.269,CLE,IND,False,0,0,,0,0.0,0,0,0,,,5,207,41.40,0,0,0%,0,0%,7,30%,True,False,13,17,Reggie Hodges
2012,2012-10-28,8,8,30.276,CLE,SDG,False,0,0,,0,0.0,0,0,0,,,9,356,39.56,0,0,0%,0,0%,10,45%,False,True,7,6,Reggie Hodges
2012,2012-11-04,9,9,30.283,CLE,BAL,False,0,0,,0,0.0,0,0,0,,,4,170,42.50,0,0,0%,0,0%,9,30%,False,False,15,25,Reggie Hodges
2012,2012-11-18,10,11,30.297,CLE,DAL,False,0,0,,0,0.0,0,0,0,,,5,223,44.60,0,0,0%,0,0%,9,28%,True,False,20,23,Reggie Hodges
2012,2012-11-25,11,12,30.304,CLE,PIT,False,0,0,,0,0.0,0,0,0,,,10,383,38.30,0,0,0%,0,0%,14,47%,False,True,20,14,Reggie Hodges
2012,2012-12-02,12,13,30.311,CLE,OAK,False,0,0,,0,0.0,0,0,0,,,2,69,34.50,0,0,0%,0,0%,7,27%,True,True,20,17,Reggie Hodges
2012,2012-12-09,13,14,30.318,CLE,KAN,False,0,0,,0,0.0,0,0,0,,,5,204,40.80,0,0,0%,0,0%,11,38%,False,True,30,7,Reggie Hodges
2012,2012-12-16,14,15,30.325,CLE,WAS,False,0,0,,0,0.0,0,0,0,,,6,252,42.00,0,0,0%,0,0%,9,29%,False,False,21,38,Reggie Hodges
2012,2012-12-23,15,16,30.332,CLE,DEN,False,0,0,,0,0.0,1,0,1,,,4,169,42.25,0,0,0%,0,0%,6,23%,True,False,12,34,Reggie Hodges
2012,2012-12-30,16,17,30.339,CLE,PIT,False,0,0,,0,0.0,0,0,0,,,3,115,38.33,0,0,0%,0,0%,7,28%,True,False,10,24,Reggie Hodges
,64 Games,,,,,,False,2,68,34.00,0,0.0,2,5,7,0,0,320,13266,41.46,2,,,,,,,False,False,41,0,Reggie Hodges
