Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_Sfty,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-12-23,15,16,,JAX,,NWE,L 16-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rashad Jennings
2012,2012-12-30,16,17,,JAX,@,TEN,L 20-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Rashad Jennings
2013,2013-09-08,1,1,28.166,OAK,@,IND,L 17-21,False,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,6,10%,0,0%,12,60%,True,Rashad Jennings
2013,2013-09-15,2,2,28.173,OAK,,JAX,W 19-9,False,4,32,8.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,18,29%,0,0%,20,69%,False,Rashad Jennings
2013,2013-09-23,3,3,28.181,OAK,@,DEN,L 21-37,False,0,0,,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,7,13%,0,0%,19,66%,True,Rashad Jennings
2013,2013-09-29,4,4,28.187,OAK,,WAS,L 14-24,False,14,45,3.21,0,8,8,71,8.88,0,100.0%,8.88,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,85%,0,0%,13,42%,False,Rashad Jennings
2013,2013-10-06,5,5,28.194,OAK,,SDG,W 27-17,True,10,41,4.10,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,57%,0,0%,0,0%,False,Rashad Jennings
2013,2013-10-13,6,6,28.201,OAK,@,KAN,L 7-24,False,4,12,3.00,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,16%,0,0%,9,31%,True,Rashad Jennings
2013,2013-10-27,7,8,28.215,OAK,,PIT,W 21-18,False,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,17%,0,0%,16,53%,False,Rashad Jennings
2013,2013-11-03,8,9,28.222,OAK,,PHI,L 20-49,False,15,102,6.80,1,10,7,74,10.57,0,70.0%,7.40,0,0,,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,76%,0,0%,5,13%,False,Rashad Jennings
