Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-12-05,12,13,27.168,SDG,,OAK,L 13-28,False,0,0,,0,1,1,7,7.00,0,100.0%,7.00,2,50,25.00,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-12-12,13,14,27.175,SDG,,KAN,W 31-0,False,6,53,8.83,0,5,5,51,10.20,0,100.0%,10.20,1,27,27.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-12-16,14,15,27.179,SDG,,SFO,W 34-7,False,2,1,0.50,0,6,5,30,6.00,0,83.3%,5.00,2,36,18.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-12-26,15,16,27.189,SDG,@,CIN,L 20-34,False,3,8,2.67,0,10,8,55,6.88,0,80.0%,5.50,5,114,22.80,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Darren Sproles
2010,2011-01-02,16,17,27.196,SDG,@,DEN,W 33-28,False,4,43,10.75,0,2,2,26,13.00,0,100.0%,13.00,3,93,31.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Darren Sproles
2011,2011-09-08,1,1,28.080,NOR,@,GNB,L 34-42,False,2,7,3.50,0,9,7,75,10.71,0,77.8%,8.33,2,76,38.00,0,2,92,46.00,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2011,2011-09-18,2,2,28.090,NOR,,CHI,W 30-13,False,4,17,4.25,0,10,8,43,5.38,1,80.0%,4.30,1,24,24.00,0,2,1,0.50,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2011,2011-09-25,3,3,28.097,NOR,,HOU,W 40-33,True,2,35,17.50,1,9,6,50,8.33,0,66.7%,5.56,4,103,25.75,0,1,5,5.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2011,2011-10-02,4,4,28.104,NOR,@,JAX,W 23-10,True,7,75,10.71,0,7,5,56,11.20,0,71.4%,8.00,2,48,24.00,0,1,9,9.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2011,2011-10-09,5,5,28.111,NOR,@,CAR,W 30-27,False,11,51,4.64,0,7,5,40,8.00,0,71.4%,5.71,0,0,,0,1,-3,-3.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2011,2011-10-16,6,6,28.118,NOR,@,TAM,L 20-26,False,1,16,16.00,0,11,8,46,5.75,0,72.7%,4.18,3,69,23.00,0,1,-10,-10.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2011,2011-10-23,7,7,28.125,NOR,,IND,W 62-7,True,12,88,7.33,1,6,6,19,3.17,1,100.0%,3.17,2,56,28.00,0,4,27,6.75,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2011,2011-10-30,8,8,28.132,NOR,@,STL,L 21-31,False,6,16,2.67,0,7,6,60,10.00,0,85.7%,8.57,5,121,24.20,0,3,19,6.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2011,2011-11-06,9,9,28.139,NOR,,TAM,W 27-16,False,4,42,10.50,0,6,5,57,11.40,1,83.3%,9.50,2,54,27.00,0,1,15,15.00,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Darren Sproles
2011,2011-11-13,10,10,28.146,NOR,@,ATL,W 26-23,True,2,1,0.50,0,6,4,2,0.50,0,66.7%,0.33,3,84,28.00,0,2,18,9.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2011,2011-11-28,11,12,28.161,NOR,,NYG,W 49-24,False,8,54,6.75,0,5,2,28,14.00,0,40.0%,5.60,2,62,31.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2011,2011-12-04,12,13,28.167,NOR,,DET,W 31-17,False,4,28,7.00,0,5,5,46,9.20,1,100.0%,9.20,3,74,24.67,0,2,13,6.50,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2011,2011-12-11,13,14,28.174,NOR,@,TEN,W 22-17,False,5,33,6.60,0,8,7,58,8.29,0,87.5%,7.25,2,42,21.00,0,3,18,6.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2011,2011-12-18,14,15,28.181,NOR,@,MIN,W 42-20,False,8,33,4.13,0,6,5,79,15.80,1,83.3%,13.17,3,75,25.00,0,3,45,15.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
