Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-11-18,10,11,26.042,NOR,@,OAK,W 38-17,False,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,3,17,5.67,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,8,14%,0,0%,6,21%,True,Chase Daniel
2012,2012-11-25,11,12,26.049,NOR,,SFO,L 21-31,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,3,10%,False,Chase Daniel
2012,2012-11-29,12,13,26.053,NOR,@,ATL,L 13-23,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,3,11%,True,Chase Daniel
2012,2012-12-09,13,14,26.063,NOR,@,NYG,L 27-52,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,14%,True,Chase Daniel
2012,2012-12-16,14,15,26.070,NOR,,TAM,W 41-0,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,5,7%,0,0%,7,27%,False,Chase Daniel
2012,2012-12-23,15,16,26.077,NOR,@,DAL,W 34-31,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,7,20%,True,Chase Daniel
2012,2012-12-30,16,17,26.084,NOR,,CAR,L 38-44,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,6,16%,False,Chase Daniel
2013,2013-09-08,1,1,26.336,KAN,@,JAX,W 28-2,False,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,0,0%,True,Chase Daniel
2013,2013-09-15,2,2,,KAN,,DAL,W 17-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chase Daniel
2013,2013-09-19,3,3,,KAN,@,PHI,W 26-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Chase Daniel
