Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-10-14,6,6,31.095,HOU,GNB,True,12,8,75,9.38,0,66.7%,6.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,80%,0,0%,0,0%,False,False,24,42,Andre Johnson
2012,2012-10-21,7,7,31.102,HOU,BAL,True,10,9,86,9.56,0,90.0%,8.60,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,86%,0,0%,0,0%,False,True,43,13,Andre Johnson
2012,2012-11-04,8,9,31.116,HOU,BUF,True,10,8,118,14.75,0,80.0%,11.80,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,94%,0,0%,0,0%,False,True,21,9,Andre Johnson
2012,2012-11-11,9,10,31.123,HOU,CHI,True,9,4,35,8.75,0,44.4%,3.89,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,94%,0,0%,0,0%,True,True,13,6,Andre Johnson
2012,2012-11-18,10,11,31.130,HOU,JAX,True,19,14,273,19.50,1,73.7%,14.37,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,87,93%,0,0%,0,0%,False,True,43,37,Andre Johnson
2012,2012-11-22,11,12,31.134,HOU,DET,True,15,9,188,20.89,0,60.0%,12.53,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,90%,0,0%,0,0%,True,True,34,31,Andre Johnson
2012,2012-12-02,12,13,31.144,HOU,TEN,True,7,5,56,11.20,0,71.4%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,96%,0,0%,0,0%,True,True,24,10,Andre Johnson
2012,2012-12-10,13,14,31.152,HOU,NWE,True,10,8,95,11.88,0,80.0%,9.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,80%,0,0%,0,0%,True,False,14,42,Andre Johnson
2012,2012-12-16,14,15,31.158,HOU,IND,True,13,11,151,13.73,1,84.6%,11.62,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,100%,0,0%,0,0%,False,True,29,17,Andre Johnson
2012,2012-12-23,15,16,31.165,HOU,MIN,True,10,7,97,13.86,0,70.0%,9.70,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,88%,0,0%,0,0%,False,False,6,23,Andre Johnson
