Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2001,2001-09-30,2,3,24.132,NOR,NYG,True,16,53,3.31,0,7,4,49,12.25,0,57.1%,7.00,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,13,21,Ricky Williams
2001,2001-10-07,3,4,24.139,NOR,MIN,True,30,136,4.53,1,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,1,0,0,0,0,0,False,True,28,15,Ricky Williams
2001,2001-10-14,4,5,24.146,NOR,CAR,True,31,147,4.74,1,7,4,31,7.75,0,57.1%,4.43,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,0,,1,1,0,0,0,0,True,True,27,25,Ricky Williams
2001,2001-10-21,5,6,24.153,NOR,ATL,True,21,51,2.43,0,9,9,65,7.22,0,100.0%,7.22,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,13,20,Ricky Williams
2001,2001-10-28,6,7,24.160,NOR,STL,True,17,77,4.53,0,6,4,19,4.75,0,66.7%,3.17,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,1,1,0,0,0,0,True,True,34,31,Ricky Williams
2001,2001-11-04,7,8,24.167,NOR,NYJ,True,19,58,3.05,1,6,1,6,6.00,0,16.7%,1.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,0,,0,,0,0,0,0,False,False,9,16,Ricky Williams
2001,2001-11-11,8,9,24.174,NOR,SFO,True,24,121,5.04,0,6,3,52,17.33,0,50.0%,8.67,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,False,27,28,Ricky Williams
2001,2001-11-18,9,10,24.181,NOR,IND,True,28,120,4.29,1,4,4,48,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,34,20,Ricky Williams
2001,2001-11-25,10,11,24.188,NOR,NWE,True,15,56,3.73,1,5,3,39,13.00,0,60.0%,7.80,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,0,,0,,0,1,4,0,True,False,17,34,Ricky Williams
2001,2001-12-02,11,12,24.195,NOR,CAR,True,27,102,3.78,0,6,4,72,18.00,0,66.7%,12.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,False,True,27,23,Ricky Williams
2001,2001-12-09,12,13,24.202,NOR,ATL,True,15,41,2.73,1,5,5,42,8.40,0,100.0%,8.40,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,True,True,28,10,Ricky Williams
2001,2001-12-17,13,14,24.210,NOR,STL,True,14,57,4.07,0,7,4,13,3.25,0,57.1%,1.86,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,21,34,Ricky Williams
2001,2001-12-23,14,15,24.216,NOR,TAM,True,10,26,2.60,0,6,4,15,3.75,0,66.7%,2.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,True,False,21,48,Ricky Williams
2001,2001-12-30,15,16,24.223,NOR,WAS,True,17,74,4.35,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,False,10,40,Ricky Williams
2001,2002-01-06,16,17,24.230,NOR,SFO,True,11,33,3.00,0,5,4,-8,-2.00,0,80.0%,-1.60,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,3,2,0,1,0,0,False,False,0,38,Ricky Williams
2002,2002-09-08,1,1,25.110,MIA,DET,True,20,111,5.55,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,2,12,0.0,,,,,,0,,0,0,0,0,False,True,49,21,Ricky Williams
2002,2002-09-15,2,2,25.117,MIA,IND,True,24,132,5.50,0,3,2,62,31.00,1,66.7%,20.67,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,True,True,21,13,Ricky Williams
2002,2002-09-22,3,3,25.124,MIA,NYJ,True,24,151,6.29,1,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,0,,1,0,0,1,0,0,False,True,30,3,Ricky Williams
2002,2002-09-29,4,4,25.131,MIA,KAN,True,14,66,4.71,1,8,7,60,8.57,0,87.5%,7.50,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,1,1,0,0,0,0,True,False,30,48,Ricky Williams
2002,2002-10-06,5,5,25.138,MIA,NWE,True,36,105,2.92,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,True,26,13,Ricky Williams
2002,2002-10-13,6,6,25.145,MIA,DEN,True,20,49,2.45,2,4,4,30,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,,2,12,0.0,,,,,,0,,0,0,0,0,True,True,24,22,Ricky Williams
2002,2002-10-20,7,7,25.152,MIA,BUF,True,25,97,3.88,0,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,10,23,Ricky Williams
2002,2002-11-04,8,9,25.167,MIA,GNB,True,14,47,3.36,0,5,4,23,5.75,0,80.0%,4.60,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,True,False,10,24,Ricky Williams
2002,2002-11-10,9,10,25.173,MIA,NYJ,True,20,53,2.65,0,5,5,36,7.20,0,100.0%,7.20,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,1,1,0,0,0,0,True,False,10,13,Ricky Williams
2002,2002-11-17,10,11,25.180,MIA,BAL,True,26,102,3.92,2,6,5,28,5.60,0,83.3%,4.67,0,0,,0,0,0,,,,,,,2,12,0.0,,,,,,0,,0,0,0,0,False,True,26,7,Ricky Williams
2002,2002-11-24,11,12,25.187,MIA,SDG,True,29,143,4.93,2,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,,2,12,0.0,,,,,,1,0,0,0,0,0,False,True,30,3,Ricky Williams
2002,2002-12-01,12,13,25.194,MIA,BUF,True,27,228,8.44,2,6,4,7,1.75,0,66.7%,1.17,0,0,,0,0,0,,,,,,,2,12,0.0,,,,,,0,,0,0,0,0,True,False,21,38,Ricky Williams
2002,2002-12-09,13,14,25.202,MIA,CHI,True,31,216,6.97,2,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,2,12,0.0,,,,,,1,1,0,0,0,0,False,True,27,9,Ricky Williams
2002,2002-12-15,14,15,25.208,MIA,OAK,True,27,101,3.74,0,5,5,39,7.80,0,100.0%,7.80,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,True,23,17,Ricky Williams
2002,2002-12-21,15,16,25.214,MIA,MIN,True,15,67,4.47,0,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,17,20,Ricky Williams
2002,2002-12-29,16,17,25.222,MIA,NWE,True,31,185,5.97,2,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,,,,,,2,12,0.0,,,,,,0,,0,0,0,0,True,False,24,27,Ricky Williams
2003,2003-09-07,1,1,26.109,MIA,HOU,True,17,69,4.06,0,6,5,60,12.00,1,83.3%,10.00,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,1,1,0,0,0,0,False,False,20,21,Ricky Williams
2003,2003-09-14,2,2,26.116,MIA,NYJ,True,34,125,3.68,1,4,4,37,9.25,0,100.0%,9.25,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,True,True,21,10,Ricky Williams
2003,2003-09-21,3,3,26.123,MIA,BUF,True,42,153,3.64,1,4,3,-4,-1.33,0,75.0%,-1.00,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,1,1,0,0,0,0,False,True,17,7,Ricky Williams
2003,2003-10-05,4,5,26.137,MIA,NYG,True,22,39,1.77,1,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,1,0,0,0,0,0,True,True,23,10,Ricky Williams
2003,2003-10-12,5,6,26.144,MIA,JAX,True,19,75,3.95,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,0,,1,1,0,0,0,0,True,True,24,10,Ricky Williams
2003,2003-10-19,6,7,26.151,MIA,NWE,True,27,94,3.48,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,False,False,13,19,Ricky Williams
2003,2003-10-27,7,8,26.159,MIA,SDG,True,23,69,3.00,0,6,5,26,5.20,0,83.3%,4.33,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,True,26,10,Ricky Williams
2003,2003-11-02,8,9,26.165,MIA,IND,True,13,36,2.77,1,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,0,,0,,0,0,0,0,False,False,17,23,Ricky Williams
2003,2003-11-09,9,10,26.172,MIA,TEN,True,13,37,2.85,0,6,6,22,3.67,0,100.0%,3.67,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,True,False,7,31,Ricky Williams
2003,2003-11-16,10,11,26.179,MIA,BAL,True,36,105,2.92,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,9,6,Ricky Williams
2003,2003-11-23,11,12,26.186,MIA,WAS,True,23,107,4.65,2,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,,2,12,0.0,,,,,,0,,0,0,0,0,False,True,24,23,Ricky Williams
2003,2003-11-27,12,13,26.190,MIA,DAL,True,31,104,3.35,0,4,4,41,10.25,0,100.0%,10.25,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,True,40,21,Ricky Williams
2003,2003-12-07,13,14,26.200,MIA,NWE,True,25,68,2.72,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,0,12,Ricky Williams
2003,2003-12-15,14,15,26.208,MIA,PHI,True,18,107,5.94,1,4,2,1,0.50,0,50.0%,0.25,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,False,False,27,34,Ricky Williams
2003,2003-12-21,15,16,26.214,MIA,BUF,True,29,111,3.83,0,4,3,5,1.67,0,75.0%,1.25,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,True,True,20,3,Ricky Williams
2003,2003-12-28,16,17,26.221,MIA,NYJ,True,20,73,3.65,1,5,4,72,18.00,0,80.0%,14.40,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,23,21,Ricky Williams
2005,2005-09-11,1,1,,MIA,DEN,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,True,34,10,Ricky Williams
2005,2005-09-18,2,2,,MIA,NYJ,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,False,7,17,Ricky Williams
2005,2005-09-25,3,3,,MIA,CAR,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,True,27,24,Ricky Williams
2005,2005-10-09,4,5,,MIA,BUF,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,False,14,20,Ricky Williams
2005,2005-10-16,5,6,28.148,MIA,TAM,True,5,8,1.60,0,6,6,22,3.67,0,100.0%,3.67,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,13,27,Ricky Williams
2005,2005-10-21,6,7,28.153,MIA,KAN,False,6,-1,-0.17,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,1,0,0,False,False,20,30,Ricky Williams
2005,2005-10-30,7,8,28.162,MIA,NOR,False,17,82,4.82,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,21,6,Ricky Williams
2005,2005-11-06,8,9,28.169,MIA,ATL,False,10,52,5.20,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,False,False,10,17,Ricky Williams
2005,2005-11-13,9,10,28.176,MIA,NWE,False,11,13,1.18,0,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,16,23,Ricky Williams
2005,2005-11-20,10,11,28.183,MIA,CLE,False,13,83,6.38,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,0,22,Ricky Williams
