Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-10-21,7,7,24.281,NYG,WAS,True,10,5,53,10.60,0,50.0%,5.30,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,False,True,27,23,Hakeem Nicks
2012,2012-10-28,8,8,24.288,NYG,DAL,True,7,4,46,11.50,0,57.1%,6.57,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,True,True,29,24,Hakeem Nicks
2012,2012-11-04,9,9,24.295,NYG,PIT,True,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,48,94%,0,0%,0,0%,False,False,20,24,Hakeem Nicks
2012,2012-11-11,10,10,24.302,NYG,CIN,True,14,9,75,8.33,0,64.3%,5.36,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,71,97%,0,0%,0,0%,True,False,13,31,Hakeem Nicks
2012,2012-11-25,11,12,24.316,NYG,GNB,False,13,5,77,15.40,1,38.5%,5.92,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,56,86%,0,0%,0,0%,False,True,38,10,Hakeem Nicks
2012,2012-12-03,12,13,24.324,NYG,WAS,True,10,5,43,8.60,0,50.0%,4.30,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,58,88%,0,0%,0,0%,True,False,16,17,Hakeem Nicks
2012,2012-12-09,13,14,24.330,NYG,NOR,True,6,4,67,16.75,1,66.7%,11.17,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,56,81%,0,0%,0,0%,False,True,52,27,Hakeem Nicks
2012,2012-12-16,14,15,24.337,NYG,ATL,True,7,3,40,13.33,0,42.9%,5.71,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46,96%,0,0%,0,0%,True,False,0,34,Hakeem Nicks
2012,2012-12-23,15,16,24.344,NYG,BAL,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,35,73%,0,0%,0,0%,True,False,14,33,Hakeem Nicks
2012,2012-12-30,16,17,24.351,NYG,PHI,False,,,,,,0.0%,,,,,,,,,,0,0,0,,,0,0,0,1,2%,0,0%,0,0%,False,True,42,7,Hakeem Nicks
2013,2013-09-08,1,1,25.237,NYG,DAL,True,8,5,114,22.80,0,62.5%,14.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,51,85%,0,0%,0,0%,True,False,31,36,Hakeem Nicks
2013,2013-09-15,2,2,25.244,NYG,DEN,True,7,4,83,20.75,0,57.1%,11.86,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,72,91%,0,0%,0,0%,False,False,23,41,Hakeem Nicks
2013,2013-09-22,3,3,25.251,NYG,CAR,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46,87%,0,0%,0,0%,True,False,0,38,Hakeem Nicks
2013,2013-09-29,4,4,25.258,NYG,KAN,True,9,3,33,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,60,95%,0,0%,0,0%,True,False,7,31,Hakeem Nicks
2013,2013-10-06,5,5,25.265,NYG,PHI,True,12,9,142,15.78,0,75.0%,11.83,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,70,96%,0,0%,0,0%,False,False,21,36,Hakeem Nicks
2013,2013-10-10,6,6,25.269,NYG,CHI,True,8,4,70,17.50,0,50.0%,8.75,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,True,False,21,27,Hakeem Nicks
2013,2013-10-21,7,7,25.280,NYG,MIN,True,10,2,28,14.00,0,20.0%,2.80,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,68,92%,0,0%,0,0%,False,True,23,7,Hakeem Nicks
2013,2013-10-27,8,8,25.286,NYG,PHI,True,12,7,51,7.29,0,58.3%,4.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,62,84%,0,0%,0,0%,True,True,15,7,Hakeem Nicks
2013,2013-11-10,9,10,25.300,NYG,OAK,True,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,53,82%,0,0%,0,0%,False,True,24,20,Hakeem Nicks
2013,2013-11-17,10,11,25.307,NYG,GNB,True,5,4,50,12.50,0,80.0%,10.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,60,91%,0,0%,0,0%,False,True,27,13,Hakeem Nicks
2013,2013-11-24,11,12,,NYG,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,24,Hakeem Nicks
2013,2013-12-01,12,13,25.321,NYG,WAS,True,2,2,34,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,51,94%,0,0%,0,0%,True,True,24,17,Hakeem Nicks
