Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-12-23,15.0,16.0,23.135,MIN,DET,W 27-9,True,16,73,4.56,0,3,3,35,11.67,0,100.0%,11.67,,0,0,0,0,0,0,0,0,46,75%,0,0%,0,0%,True,Dalvin Cook,True,27,9
2018.0,2018-12-30,16.0,17.0,23.142,MIN,CHI,L 10-24,True,11,39,3.55,0,5,4,21,5.25,0,80.0%,4.20,,0,0,0,0,0,0,0,0,53,93%,0,0%,0,0%,False,Dalvin Cook,False,10,24
2019.0,2019-09-08,1.0,1.0,24.029,MIN,ATL,W 28-12,True,21,111,5.29,2,2,2,9,4.50,0,100.0%,4.50,,2,12,0,0,0,0,0,0,36,67%,0,0%,0,0%,False,Dalvin Cook,True,28,12
2019.0,2019-09-15,2.0,2.0,24.036,MIN,GNB,L 16-21,True,20,154,7.70,1,3,3,37,12.33,0,100.0%,12.33,,1,6,0,0,0,0,0,0,47,72%,0,0%,0,0%,True,Dalvin Cook,False,16,21
2019.0,2019-09-22,3.0,3.0,24.043,MIN,OAK,W 34-14,True,16,110,6.88,1,5,4,33,8.25,0,80.0%,6.60,,1,6,0,0,0,0,0,0,37,60%,0,0%,0,0%,False,Dalvin Cook,True,34,14
2019.0,2019-09-29,4.0,4.0,24.05,MIN,CHI,L 6-16,True,14,35,2.50,1,8,6,35,5.83,0,75.0%,4.38,,1,6,0,0,0,0,0,0,47,78%,0,0%,0,0%,True,Dalvin Cook,False,6,16
2019.0,2019-10-06,5.0,5.0,24.057,MIN,NYG,W 28-10,True,21,132,6.29,0,6,6,86,14.33,0,100.0%,14.33,,0,0,2,1,0,1,0,0,43,64%,0,0%,0,0%,True,Dalvin Cook,True,28,10
2019.0,2019-10-13,6.0,6.0,24.064,MIN,PHI,W 38-20,True,16,41,2.56,1,2,2,13,6.50,0,100.0%,6.50,,1,6,0,0,0,0,0,0,44,62%,0,0%,0,0%,False,Dalvin Cook,True,38,20
2019.0,2019-10-20,7.0,7.0,24.071,MIN,DET,W 42-30,True,25,142,5.68,2,2,1,7,7.00,0,50.0%,3.50,,2,12,0,0,0,0,0,0,51,70%,0,0%,0,0%,True,Dalvin Cook,True,42,30
2019.0,2019-10-24,8.0,8.0,24.075,MIN,WAS,W 19-9,True,23,98,4.26,1,6,5,73,14.60,0,83.3%,12.17,,1,6,0,0,0,0,0,0,51,71%,0,0%,0,0%,False,Dalvin Cook,True,19,9
2019.0,2019-11-03,9.0,9.0,24.085,MIN,KAN,L 23-26,True,21,71,3.38,0,7,4,45,11.25,0,57.1%,6.43,,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,True,Dalvin Cook,False,23,26
2019.0,2019-11-10,10.0,10.0,24.092,MIN,DAL,W 28-24,True,26,97,3.73,1,7,7,86,12.29,0,100.0%,12.29,,1,6,0,0,0,0,0,0,56,78%,0,0%,0,0%,True,Dalvin Cook,True,28,24
2019.0,2019-11-17,11.0,11.0,24.099,MIN,DEN,W 27-23,True,11,26,2.36,1,6,5,31,6.20,0,83.3%,5.17,,1,6,0,0,0,0,0,0,50,81%,0,0%,0,0%,False,Dalvin Cook,True,27,23
2019.0,2019-12-02,12.0,13.0,24.114,MIN,SEA,L 30-37,True,9,29,3.22,1,4,3,35,11.67,0,75.0%,8.75,,1,6,2,1,0,0,0,0,24,44%,0,0%,0,0%,True,Dalvin Cook,False,30,37
2019.0,2019-12-08,13.0,14.0,24.12,MIN,DET,W 20-7,True,18,62,3.44,1,2,2,13,6.50,0,100.0%,6.50,,1,6,0,0,0,0,0,0,33,46%,0,0%,0,0%,False,Dalvin Cook,True,20,7
2019.0,2019-12-15,14.0,15.0,24.127,MIN,LAC,W 39-10,True,9,27,3.00,0,3,3,16,5.33,0,100.0%,5.33,,0,0,0,0,0,0,0,0,28,43%,0,0%,0,0%,True,Dalvin Cook,True,39,10
