Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-12-09,13.0,14.0,,CAR,ATL,W 30-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Brandon LaFell,True,30,20
2012.0,2012-12-16,14.0,15.0,26.042,CAR,SDG,W 31-7,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,23,30%,0,0%,0,0%,True,Brandon LaFell,True,31,7
2012.0,2012-12-23,15.0,16.0,26.049,CAR,OAK,W 17-6,True,7,5,38,7.60,0,71.4%,5.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,84%,0,0%,0,0%,False,Brandon LaFell,True,17,6
2012.0,2012-12-30,16.0,17.0,26.056,CAR,NOR,W 44-38,True,7,5,62,12.40,0,71.4%,8.86,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,78%,0,0%,2,5%,True,Brandon LaFell,True,44,38
2013.0,2013-09-08,1.0,1.0,26.308,CAR,SEA,L 7-12,True,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,49,94%,0,0%,0,0%,False,Brandon LaFell,False,7,12
2013.0,2013-09-15,2.0,2.0,26.315,CAR,BUF,L 23-24,True,6,4,13,3.25,0,66.7%,2.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,74,94%,0,0%,0,0%,True,Brandon LaFell,False,23,24
2013.0,2013-09-22,3.0,3.0,26.322,CAR,NYG,W 38-0,True,5,3,53,17.67,2,60.0%,10.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,44,58%,0,0%,0,0%,False,Brandon LaFell,True,38,0
2013.0,2013-10-06,4.0,5.0,26.336,CAR,ARI,L 6-22,True,9,4,47,11.75,0,44.4%,5.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,93%,0,0%,0,0%,True,Brandon LaFell,False,6,22
2013.0,2013-10-13,5.0,6.0,26.343,CAR,MIN,W 35-10,True,4,4,107,26.75,1,100.0%,26.75,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,86%,0,0%,1,4%,True,Brandon LaFell,True,35,10
2013.0,2013-10-20,6.0,7.0,26.35,CAR,STL,W 30-15,True,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,False,Brandon LaFell,True,30,15
2013.0,2013-10-24,7.0,8.0,26.354,CAR,TAM,W 31-13,True,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,95%,0,0%,1,3%,True,Brandon LaFell,True,31,13
2013.0,2013-11-03,8.0,9.0,26.364,CAR,ATL,W 34-10,True,9,6,74,12.33,0,66.7%,8.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,64,85%,0,0%,0,0%,False,Brandon LaFell,True,34,10
2013.0,2013-11-10,9.0,10.0,27.006,CAR,SFO,W 10-9,True,8,4,48,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,89%,0,0%,1,4%,True,Brandon LaFell,True,10,9
2013.0,2013-11-18,10.0,11.0,27.014,CAR,NWE,W 24-20,True,8,7,59,8.43,1,87.5%,7.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,52,91%,0,0%,0,0%,False,Brandon LaFell,True,24,20
2013.0,2013-11-24,11.0,12.0,27.02,CAR,MIA,W 20-16,True,5,2,36,18.00,0,40.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,96%,0,0%,0,0%,True,Brandon LaFell,True,20,16
2013.0,2013-12-01,12.0,13.0,27.027,CAR,TAM,W 27-6,True,7,3,36,12.00,1,42.9%,5.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,86%,0,0%,0,0%,False,Brandon LaFell,True,27,6
2013.0,2013-12-08,13.0,14.0,27.034,CAR,NOR,L 13-31,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,95%,0,0%,1,4%,True,Brandon LaFell,False,13,31
2013.0,2013-12-15,14.0,15.0,27.041,CAR,NYJ,W 30-20,True,4,3,61,20.33,0,75.0%,15.25,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,77%,0,0%,1,4%,False,Brandon LaFell,True,30,20
2013.0,2013-12-22,15.0,16.0,27.048,CAR,NOR,W 17-13,True,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,98%,0,0%,0,0%,False,Brandon LaFell,True,17,13
2013.0,2013-12-29,16.0,17.0,27.055,CAR,ATL,W 21-20,True,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,98%,0,0%,0,0%,True,Brandon LaFell,True,21,20
2014.0,2014-09-07,1.0,1.0,27.307,NWE,MIA,L 20-33,False,6,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,45%,0,0%,4,12%,True,Brandon LaFell,False,20,33
2014.0,2014-09-14,2.0,2.0,27.314,NWE,MIN,W 30-7,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,36,55%,0,0%,8,29%,True,Brandon LaFell,True,30,7
