Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-15,6.0,6.0,25.131,HOU,CLE,W 33-17,True,4,2,19,9.50,1,50.0%,4.75,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,63,95%,0,0%,0,0%,False,DeAndre Hopkins,True,33,17
2017.0,2017-10-29,7.0,8.0,25.145,HOU,SEA,L 38-41,True,11,8,224,28.00,1,72.7%,20.36,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,DeAndre Hopkins,False,38,41
2017.0,2017-11-05,8.0,9.0,25.152,HOU,IND,L 14-20,True,16,6,86,14.33,1,37.5%,5.38,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,DeAndre Hopkins,False,14,20
2017.0,2017-11-12,9.0,10.0,25.159,HOU,LAR,L 7-33,True,14,7,111,15.86,0,50.0%,7.93,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,69,99%,0,0%,0,0%,True,DeAndre Hopkins,False,7,33
2017.0,2017-11-19,10.0,11.0,25.166,HOU,ARI,W 31-21,True,9,4,76,19.00,1,44.4%,8.44,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,False,DeAndre Hopkins,True,31,21
2017.0,2017-11-27,11.0,12.0,25.174,HOU,BAL,L 16-23,True,10,7,125,17.86,0,70.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,DeAndre Hopkins,False,16,23
2017.0,2017-12-03,12.0,13.0,25.18,HOU,TEN,L 13-24,True,14,8,80,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,True,DeAndre Hopkins,False,13,24
2017.0,2017-12-10,13.0,14.0,25.187,HOU,SFO,L 16-26,True,16,11,149,13.55,2,68.8%,9.31,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%,False,DeAndre Hopkins,False,16,26
2017.0,2017-12-17,14.0,15.0,25.194,HOU,JAX,L 7-45,True,13,4,80,20.00,1,30.8%,6.15,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,53,93%,0,0%,0,0%,True,DeAndre Hopkins,False,7,45
2017.0,2017-12-25,15.0,16.0,25.202,HOU,PIT,L 6-34,True,6,4,65,16.25,1,66.7%,10.83,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,False,DeAndre Hopkins,False,6,34
2017.0,2017-12-31,16.0,17.0,,HOU,IND,L 13-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeAndre Hopkins,False,13,22
2018.0,2018-09-09,1.0,1.0,26.095,HOU,NWE,L 20-27,True,11,8,78,9.75,0,72.7%,7.09,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,73,99%,0,0%,0,0%,True,DeAndre Hopkins,False,20,27
2018.0,2018-09-16,2.0,2.0,26.102,HOU,TEN,L 17-20,True,11,6,110,18.33,1,54.5%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,True,DeAndre Hopkins,False,17,20
2018.0,2018-09-23,3.0,3.0,26.109,HOU,NYG,L 22-27,True,10,6,86,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,False,DeAndre Hopkins,False,22,27
2018.0,2018-09-30,4.0,4.0,26.116,HOU,IND,W 37-34,True,12,10,169,16.90,1,83.3%,14.08,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,86,100%,1,1%,0,0%,True,DeAndre Hopkins,True,37,34
