Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2011-01-02,16.0,17.0,23.287,CAR,ATL,L 10-31,True,13,31,2.38,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,10,31
2011.0,2011-09-11,1.0,1.0,24.174,CAR,ARI,L 21-28,False,7,26,3.71,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,21,28
2011.0,2011-09-18,2.0,2.0,24.181,CAR,GNB,L 23-30,False,6,5,0.83,0,8,8,100,12.50,0,100.0%,12.50,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,23,30
2011.0,2011-09-25,3.0,3.0,24.188,CAR,JAX,W 16-10,False,10,59,5.90,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,16,10
2011.0,2011-10-02,4.0,4.0,24.195,CAR,CHI,L 29-34,False,8,52,6.50,0,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,29,34
2011.0,2011-10-09,5.0,5.0,24.202,CAR,NOR,L 27-30,False,6,20,3.33,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,27,30
2011.0,2011-10-16,6.0,6.0,24.209,CAR,ATL,L 17-31,False,7,48,6.86,1,3,3,24,8.00,0,100.0%,8.00,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,17,31
2011.0,2011-10-23,7.0,7.0,24.216,CAR,WAS,W 33-20,False,14,68,4.86,1,0,0,0,,0,0.0%,,0,0,,0,1,6,1,0,0,0,0,0,,,,,,,False,Jonathan Stewart,True,33,20
2011.0,2011-10-30,8.0,8.0,24.223,CAR,MIN,L 21-24,False,13,49,3.77,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,21,24
2011.0,2011-11-13,9.0,10.0,24.237,CAR,TEN,L 3-30,False,4,23,5.75,0,7,4,22,5.50,0,57.1%,3.14,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,3,30
2011.0,2011-11-20,10.0,11.0,24.244,CAR,DET,L 35-49,False,8,22,2.75,0,6,6,87,14.50,0,100.0%,14.50,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,35,49
2011.0,2011-11-27,11.0,12.0,24.251,CAR,IND,W 27-19,True,10,70,7.00,0,4,3,12,4.00,0,75.0%,3.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,True,27,19
2011.0,2011-12-04,12.0,13.0,24.258,CAR,TAM,W 38-19,False,14,80,5.71,1,2,2,19,9.50,0,100.0%,9.50,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,True,38,19
2011.0,2011-12-11,13.0,14.0,24.265,CAR,ATL,L 23-31,True,8,29,3.63,0,9,4,27,6.75,0,44.4%,3.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,23,31
2011.0,2011-12-18,14.0,15.0,24.272,CAR,HOU,W 28-13,False,11,43,3.91,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,True,28,13
2011.0,2011-12-24,15.0,16.0,24.278,CAR,TAM,W 48-16,True,7,88,12.57,0,2,1,11,11.00,1,50.0%,5.50,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,48,16
2011.0,2012-01-01,16.0,17.0,24.286,CAR,NOR,L 17-45,False,9,79,8.78,1,2,2,7,3.50,0,100.0%,3.50,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,17,45
2012.0,2012-09-09,1.0,1.0,,CAR,TAM,L 10-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jonathan Stewart,False,10,16
2012.0,2012-09-16,2.0,2.0,25.179,CAR,NOR,W 35-27,False,11,51,4.64,0,1,1,17,17.00,1,100.0%,17.00,0,0,,0,1,6,0,0,0,0,0,0,23,37%,0,0%,0,0%,False,Jonathan Stewart,True,35,27
2012.0,2012-09-20,3.0,3.0,,CAR,NYG,L 7-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jonathan Stewart,False,7,36
2012.0,2012-09-30,4.0,4.0,25.193,CAR,ATL,L 28-30,False,10,40,4.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0,0,0,0,0,0,21,33%,0,0%,0,0%,True,Jonathan Stewart,False,28,30
2012.0,2012-10-07,5.0,5.0,25.2,CAR,SEA,L 12-16,False,4,16,4.00,0,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,1,0,0,1,0,0,27,49%,0,0%,0,0%,False,Jonathan Stewart,False,12,16
2012.0,2012-10-21,6.0,7.0,25.214,CAR,DAL,L 14-19,True,10,35,3.50,0,4,3,11,3.67,0,75.0%,2.75,0,0,,0,0,0,0,0,0,0,0,0,55,89%,0,0%,0,0%,False,Jonathan Stewart,False,14,19
2012.0,2012-10-28,7.0,8.0,25.221,CAR,CHI,L 22-23,True,17,42,2.47,0,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,0,0,0,0,0,0,53,65%,0,0%,0,0%,True,Jonathan Stewart,False,22,23
2012.0,2012-11-04,8.0,9.0,25.228,CAR,WAS,W 21-13,True,10,51,5.10,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0,0,0,0,0,0,30,56%,0,0%,0,0%,True,Jonathan Stewart,True,21,13
2012.0,2012-11-11,9.0,10.0,25.235,CAR,DEN,L 14-36,True,8,31,3.88,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,1,0,0,0,0,0,34,49%,0,0%,0,0%,False,Jonathan Stewart,False,14,36
2012.0,2012-11-18,10.0,11.0,25.242,CAR,TAM,L 21-27,True,15,43,2.87,1,1,1,30,30.00,0,100.0%,30.00,0,0,,0,1,6,0,0,0,0,0,0,43,64%,0,0%,0,0%,False,Jonathan Stewart,False,21,27
2012.0,2012-11-26,11.0,12.0,25.25,CAR,PHI,W 30-22,True,8,27,3.38,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,0,0,0,0,0,0,26,38%,0,0%,0,0%,True,Jonathan Stewart,True,30,22
2012.0,2012-12-02,12.0,13.0,,CAR,KAN,L 21-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jonathan Stewart,False,21,27
2012.0,2012-12-09,13.0,14.0,,CAR,ATL,W 30-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jonathan Stewart,True,30,20
