Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-12-01,12.0,13.0,34.209,DAL,MIN,W 17-15,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,100%,0,0%,4,14%,True,Jason Witten,True,17,15
2016.0,2016-12-11,13.0,14.0,34.219,DAL,NYG,L 7-10,True,7,4,26,6.50,0,57.1%,3.71,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,2,7%,True,Jason Witten,False,7,10
2016.0,2016-12-18,14.0,15.0,34.226,DAL,TAM,W 26-20,True,10,10,51,5.10,0,100.0%,5.10,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,74,100%,0,0%,8,27%,False,Jason Witten,True,26,20
2016.0,2016-12-26,15.0,16.0,34.234,DAL,DET,W 42-21,True,4,2,33,16.50,1,50.0%,8.25,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,98%,0,0%,6,20%,False,Jason Witten,True,42,21
2016.0,2017-01-01,16.0,17.0,34.24,DAL,PHI,L 13-27,True,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,39%,0,0%,2,7%,True,Jason Witten,False,13,27
2017.0,2017-09-10,1.0,1.0,35.127,DAL,NYG,W 19-3,True,9,7,59,8.43,1,77.8%,6.56,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,74,100%,0,0%,5,21%,False,Jason Witten,True,19,3
2017.0,2017-09-17,2.0,2.0,35.134,DAL,DEN,L 17-42,True,13,10,97,9.70,1,76.9%,7.46,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,3,10%,True,Jason Witten,False,17,42
2017.0,2017-09-25,3.0,3.0,35.142,DAL,ARI,W 28-17,True,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,100%,0,0%,4,13%,True,Jason Witten,True,28,17
2017.0,2017-10-01,4.0,4.0,35.148,DAL,LAR,L 30-35,True,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,4,12%,False,Jason Witten,False,30,35
2017.0,2017-10-08,5.0,5.0,35.155,DAL,GNB,L 31-35,True,10,8,61,7.63,0,80.0%,6.10,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,73,99%,0,0%,5,19%,False,Jason Witten,False,31,35
