Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-10-21,7,7,22.089,CIN,@,KAN,L 10-45,True,13,50,3.85,0,5,3,1,0.33,0,60.0%,0.20,0,0,0,0,0,0,0,0,44,77%,0,0%,0,0%,True,Joe Mixon
2018,2018-10-28,8,8,22.096,CIN,,TAM,W 37-34,True,21,123,5.86,2,4,3,15,5.00,0,75.0%,3.75,2,12,0,0,0,0,0,0,55,83%,0,0%,0,0%,False,Joe Mixon
2018,2018-11-11,9,10,22.110,CIN,,NOR,L 14-51,True,11,61,5.55,0,2,2,24,12.00,0,100.0%,12.00,0,0,0,0,0,0,0,0,29,67%,0,0%,0,0%,False,Joe Mixon
2018,2018-11-18,10,11,22.117,CIN,@,BAL,L 21-24,True,12,14,1.17,1,3,3,38,12.67,0,100.0%,12.67,1,6,0,0,0,0,0,0,34,62%,0,0%,0,0%,True,Joe Mixon
2018,2018-11-25,11,12,22.124,CIN,,CLE,L 20-35,True,14,89,6.36,0,7,7,66,9.43,0,100.0%,9.43,0,0,0,0,0,0,0,0,53,72%,0,0%,0,0%,False,Joe Mixon
2018,2018-12-02,12,13,22.131,CIN,,DEN,L 10-24,True,12,82,6.83,0,2,2,13,6.50,0,100.0%,6.50,0,0,0,0,0,0,0,0,39,57%,0,0%,0,0%,False,Joe Mixon
2018,2018-12-09,13,14,22.138,CIN,@,LAC,L 21-26,True,26,111,4.27,1,6,5,27,5.40,0,83.3%,4.50,1,6,0,0,0,0,0,0,47,70%,0,0%,0,0%,True,Joe Mixon
2018,2018-12-16,14,15,22.145,CIN,,OAK,W 30-16,True,27,129,4.78,2,4,2,1,0.50,0,50.0%,0.25,2,12,0,0,0,0,0,0,52,65%,0,0%,0,0%,False,Joe Mixon
2018,2018-12-23,15,16,22.152,CIN,@,CLE,L 18-26,True,17,68,4.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,38,81%,0,0%,0,0%,True,Joe Mixon
2018,2018-12-30,16,17,22.159,CIN,@,PIT,L 13-16,False,13,105,8.08,0,1,1,2,2.00,0,100.0%,2.00,0,0,0,0,0,0,0,0,32,65%,0,0%,0,0%,True,Joe Mixon
2019,2019-09-08,1,1,23.046,CIN,@,SEA,L 20-21,True,6,10,1.67,0,3,2,7,3.50,0,66.7%,2.33,0,0,0,0,0,0,0,0,28,37%,0,0%,0,0%,True,Joe Mixon
2019,2019-09-15,2,2,23.053,CIN,,SFO,L 17-41,True,11,17,1.55,0,5,3,10,3.33,0,60.0%,2.00,0,0,0,0,0,1,0,0,38,55%,0,0%,0,0%,False,Joe Mixon
2019,2019-09-22,3,3,23.060,CIN,@,BUF,L 17-21,True,15,60,4.00,0,2,2,34,17.00,1,100.0%,17.00,1,6,0,0,0,0,0,0,35,58%,0,0%,0,0%,True,Joe Mixon
2019,2019-09-30,4,4,23.068,CIN,@,PIT,L 3-27,True,15,62,4.13,0,5,4,1,0.25,0,80.0%,0.20,0,0,0,0,0,0,0,0,42,64%,0,0%,0,0%,True,Joe Mixon
2019,2019-10-06,5,5,23.074,CIN,,ARI,L 23-26,True,19,93,4.89,0,1,1,16,16.00,0,100.0%,16.00,0,0,0,0,0,0,0,0,41,62%,0,0%,0,0%,False,Joe Mixon
2019,2019-10-13,6,6,23.081,CIN,@,BAL,L 17-23,True,8,10,1.25,0,3,2,29,14.50,0,66.7%,9.67,0,0,0,0,0,0,0,0,29,49%,0,0%,0,0%,True,Joe Mixon
2019,2019-10-20,7,7,23.088,CIN,,JAX,L 17-27,True,10,2,0.20,0,2,1,2,2.00,1,50.0%,1.00,1,6,0,0,0,0,0,0,38,54%,0,0%,0,0%,False,Joe Mixon
2019,2019-10-27,8,8,23.095,CIN,@,LAR,L 10-24,True,17,66,3.88,0,4,4,11,2.75,1,100.0%,2.75,1,6,0,0,0,0,0,0,42,53%,0,0%,0,0%,True,Joe Mixon
