Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-12-23,15.0,16.0,26.24,NYJ,GNB,L 38-44,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,176,44.00,0,0,0%,0,0%,12,32%,False,Lac Edwards,False,38,44
2018.0,2018-12-30,16.0,17.0,26.247,NYJ,NWE,L 3-38,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,237,47.40,0,0,0%,0,0%,6,24%,True,Lac Edwards,False,3,38
2019.0,2019-09-08,1.0,1.0,27.134,NYJ,BUF,L 16-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,304,43.43,0,0,0%,0,0%,9,39%,False,Lac Edwards,False,16,17
2019.0,2019-09-16,2.0,2.0,27.142,NYJ,CLE,L 3-23,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,329,47.00,0,0,0%,0,0%,8,31%,False,Lac Edwards,False,3,23
2019.0,2019-09-22,3.0,3.0,27.148,NYJ,NWE,L 14-30,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,10,464,46.40,0,0,0%,0,0%,12,34%,True,Lac Edwards,False,14,30
2019.0,2019-10-06,4.0,5.0,27.162,NYJ,PHI,L 6-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,8,407,50.88,0,0,0%,0,0%,10,36%,True,Lac Edwards,False,6,31
2019.0,2019-10-13,5.0,6.0,27.169,NYJ,DAL,W 24-22,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,181,45.25,0,0,0%,0,0%,8,31%,False,Lac Edwards,True,24,22
2019.0,2019-10-21,6.0,7.0,27.177,NYJ,NWE,L 0-33,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,231,46.20,0,0,0%,0,0%,6,24%,False,Lac Edwards,False,0,33
2019.0,2019-10-27,7.0,8.0,27.183,NYJ,JAX,L 15-29,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,246,49.20,0,0,0%,0,0%,6,23%,True,Lac Edwards,False,15,29
2019.0,2019-11-03,8.0,9.0,27.19,NYJ,MIA,L 18-26,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,176,44.00,0,0,0%,0,0%,10,33%,True,Lac Edwards,False,18,26
2019.0,2019-11-10,9.0,10.0,27.197,NYJ,NYG,W 34-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,228,45.60,0,0,0%,0,0%,13,39%,False,Lac Edwards,True,34,27
2019.0,2019-11-17,10.0,11.0,27.204,NYJ,WAS,W 34-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,168,42.00,0,0,0%,0,0%,12,39%,True,Lac Edwards,True,34,17
