Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-24,3,3,26.229,CHI,,PIT,W 23-17,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,39,60%,0,0%,0,0%,False,Markus Wheaton
2017,2017-09-28,4,4,26.233,CHI,@,GNB,L 14-35,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,38,56%,0,0%,0,0%,True,Markus Wheaton
2017,2017-10-09,5,5,26.244,CHI,,MIN,L 17-20,False,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,46,75%,0,0%,0,0%,False,Markus Wheaton
2017,2017-10-15,6,6,,CHI,@,BAL,W 27-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Markus Wheaton
2017,2017-10-22,7,7,,CHI,,CAR,W 17-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Markus Wheaton
2017,2017-10-29,8,8,,CHI,@,NOR,L 12-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Markus Wheaton
2017,2017-11-12,9,10,26.278,CHI,,GNB,L 16-23,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,2,3%,0,0%,0,0%,False,Markus Wheaton
2017,2017-11-19,10,11,26.285,CHI,,DET,L 24-27,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,9,14%,0,0%,0,0%,False,Markus Wheaton
2017,2017-11-26,11,12,26.292,CHI,@,PHI,L 3-31,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,5,9%,0,0%,0,0%,True,Markus Wheaton
2017,2017-12-03,12,13,26.299,CHI,,SFO,L 14-15,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,3%,0,0%,0,0%,False,Markus Wheaton
2017,2017-12-10,13,14,26.306,CHI,@,CIN,W 33-7,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,7,9%,0,0%,0,0%,True,Markus Wheaton
2017,2017-12-16,14,15,26.312,CHI,@,DET,L 10-20,False,4,2,42,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,29,42%,0,0%,0,0%,True,Markus Wheaton
2017,2017-12-24,15,16,26.320,CHI,,CLE,W 20-3,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,3,5%,0,0%,0,0%,False,Markus Wheaton
2017,2017-12-31,16,17,26.327,CHI,@,MIN,L 10-23,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,8,14%,0,0%,0,0%,True,Markus Wheaton
2018,2018-09-06,1,1,27.211,PHI,,ATL,W 18-12,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,2,3%,0,0%,1,4%,False,Markus Wheaton
,59 Games,,,,,,,33-26-0,False,204,110,1559,14.17,8,53.9%,7.64,4,19,4.75,0,27,636,23.56,0,2,8,52,0.0,6,0,6,0,0,,,,,,,False,Markus Wheaton
