Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2002,2002-10-07,5,5,28.240,CHI,GNB,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,226,45.20,0,False,False,21,34,Brad Maynard
2002,2002-10-20,6,7,28.253,CHI,DET,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,186,46.50,0,True,False,20,23,Brad Maynard
2002,2002-10-27,7,8,28.260,CHI,MIN,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,122,40.67,0,True,False,7,25,Brad Maynard
2002,2002-11-03,8,9,28.267,CHI,PHI,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,262,37.43,0,False,False,13,19,Brad Maynard
2002,2002-11-10,9,10,28.274,CHI,NWE,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,243,40.50,0,False,False,30,33,Brad Maynard
2002,2002-11-18,10,11,28.282,CHI,STL,False,0,0,,0,0,0,,0,,,,1,20,20.00,0,0.0,,,,,,0,,0,0,0,0,6,256,42.67,0,True,False,16,21,Brad Maynard
2002,2002-11-24,11,12,28.288,CHI,DET,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,199,39.80,0,False,True,20,17,Brad Maynard
2002,2002-12-01,12,13,28.295,CHI,GNB,False,1,1,100.00,12,1,0,156.2,0,0,12.00,32.00,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,164,41.00,0,True,False,20,30,Brad Maynard
2002,2002-12-09,13,14,28.303,CHI,MIA,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,304,43.43,0,True,False,9,27,Brad Maynard
2002,2002-12-15,14,15,28.309,CHI,NYJ,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,133,44.33,0,False,True,20,13,Brad Maynard
2002,2002-12-22,15,16,28.316,CHI,CAR,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,10,445,44.50,0,True,False,14,24,Brad Maynard
2002,2002-12-29,16,17,28.323,CHI,TAM,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,286,47.67,0,False,False,0,15,Brad Maynard
2003,2003-09-07,1,1,29.210,CHI,SFO,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,7,283,40.43,1,True,False,7,49,Brad Maynard
2003,2003-09-14,2,2,29.217,CHI,MIN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,5,205,41.00,0,True,False,13,24,Brad Maynard
2003,2003-09-29,3,4,29.232,CHI,GNB,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,1,0,1,0,,0,0,0,0,0,0,4,162,40.50,1,False,False,23,38,Brad Maynard
2003,2003-10-05,4,5,29.238,CHI,OAK,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,4,171,42.75,0,False,True,24,21,Brad Maynard
2003,2003-10-12,5,6,29.245,CHI,NOR,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,4,167,41.75,0,True,False,13,20,Brad Maynard
2003,2003-10-19,6,7,29.252,CHI,SEA,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,133,44.33,0,True,False,17,24,Brad Maynard
2003,2003-10-26,7,8,29.259,CHI,DET,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,1,0,1,0,,0,0,0,0,0,0,7,318,45.43,0,False,True,24,16,Brad Maynard
2003,2003-11-02,8,9,29.266,CHI,SDG,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,4,151,37.75,0,False,True,20,7,Brad Maynard
2003,2003-11-09,9,10,29.273,CHI,DET,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,7,268,38.29,0,True,False,10,12,Brad Maynard
2003,2003-11-16,10,11,29.280,CHI,STL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,7,289,41.29,0,False,False,21,23,Brad Maynard
2003,2003-11-23,11,12,29.287,CHI,DEN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,0,0,0,0,0,5,183,36.60,0,True,True,19,10,Brad Maynard
2003,2003-11-30,12,13,29.294,CHI,ARI,False,0,0,,0,0,0,,,,,,1,0,0.00,0,0.0,0,0,0,0,,1,0,0,0,-5,0,4,163,40.75,0,False,True,28,3,Brad Maynard
2003,2003-12-07,13,14,29.301,CHI,GNB,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,6,256,42.67,0,True,False,21,34,Brad Maynard
2003,2003-12-14,14,15,29.308,CHI,MIN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,212,42.40,0,False,True,13,10,Brad Maynard
2003,2003-12-21,15,16,29.315,CHI,WAS,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,2,91,45.50,0,False,True,27,24,Brad Maynard
2003,2003-12-28,16,17,29.322,CHI,KAN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,0,0,0,0,0,5,206,41.20,0,True,False,3,31,Brad Maynard
2004,2004-09-12,1,1,30.216,CHI,DET,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,322,46.00,0,False,False,16,20,Brad Maynard
2004,2004-09-19,2,2,30.223,CHI,GNB,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,3,153,51.00,0,True,True,21,10,Brad Maynard
2004,2004-09-26,3,3,30.230,CHI,MIN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,1,1,0,,0,,0,0,0,0,2,84,42.00,0,True,False,22,27,Brad Maynard
2004,2004-10-03,4,4,30.237,CHI,PHI,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,8,349,43.63,0,False,False,9,19,Brad Maynard
2004,2004-10-17,5,6,30.251,CHI,WAS,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,10,446,44.60,0,False,False,10,13,Brad Maynard
2004,2004-10-24,6,7,30.258,CHI,TAM,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,1,1,0,,0,,0,0,0,0,7,288,41.14,0,True,False,7,19,Brad Maynard
2004,2004-10-31,7,8,30.265,CHI,SFO,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,222,37.00,0,False,True,23,13,Brad Maynard
2004,2004-11-07,8,9,30.272,CHI,NYG,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,10,367,36.70,0,True,True,28,21,Brad Maynard
2004,2004-11-14,9,10,30.279,CHI,TEN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,11,509,46.27,0,True,True,19,17,Brad Maynard
2004,2004-11-21,10,11,30.286,CHI,IND,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,163,40.75,0,False,False,10,41,Brad Maynard
2004,2004-11-25,11,12,30.290,CHI,DAL,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,10,412,41.20,0,True,False,7,21,Brad Maynard
2004,2004-12-05,12,13,30.300,CHI,MIN,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,148,49.33,0,False,True,24,14,Brad Maynard
2004,2004-12-12,13,14,30.307,CHI,JAX,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,308,51.33,0,True,False,3,22,Brad Maynard
2004,2004-12-19,14,15,30.314,CHI,HOU,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,295,42.14,0,False,False,5,24,Brad Maynard
2004,2004-12-26,15,16,30.321,CHI,DET,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,347,43.38,0,True,False,13,19,Brad Maynard
2004,2005-01-02,16,17,30.328,CHI,GNB,False,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,225,37.50,0,False,False,14,31,Brad Maynard
2005,2005-09-11,1,1,31.214,CHI,WAS,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,0,0,,0,0,0,0,0,0,7,292,41.71,0,True,False,7,9,Brad Maynard
