Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-12,2.0,2.0,27.068,CAR,TAM,L 14-20,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,253,50.60,0,0,0%,0,0%,9,30%,False,Michael Palardy,False,14,20
2019.0,2019-09-22,3.0,3.0,27.078,CAR,ARI,W 38-20,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,145,48.33,0,0,0%,0,0%,9,30%,True,Michael Palardy,True,38,20
2019.0,2019-09-29,4.0,4.0,27.085,CAR,HOU,W 16-10,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,158,39.50,0,0,0%,0,0%,9,36%,True,Michael Palardy,True,16,10
2019.0,2019-10-06,5.0,5.0,27.092,CAR,JAX,W 34-27,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,238,47.60,0,0,0%,0,0%,12,35%,False,Michael Palardy,True,34,27
2019.0,2019-10-13,6.0,6.0,27.099,CAR,TAM,W 37-26,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,350,50.00,0,2,3%,0,0%,15,39%,True,Michael Palardy,True,37,26
2019.0,2019-10-27,7.0,8.0,27.113,CAR,SFO,L 13-51,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,313,44.71,0,0,0%,0,0%,8,26%,True,Michael Palardy,False,13,51
2019.0,2019-11-03,8.0,9.0,27.12,CAR,TEN,W 30-20,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,155,38.75,0,0,0%,0,0%,12,42%,False,Michael Palardy,True,30,20
2019.0,2019-11-10,9.0,10.0,27.127,CAR,GNB,L 16-24,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,122,40.67,0,0,0%,0,0%,5,22%,True,Michael Palardy,False,16,24
2019.0,2019-11-17,10.0,11.0,27.134,CAR,ATL,L 3-29,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,187,46.75,0,0,0%,0,0%,5,22%,False,Michael Palardy,False,3,29
2019.0,2019-11-24,11.0,12.0,27.141,CAR,NOR,L 31-34,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,126,42.00,0,0,0%,0,0%,9,29%,True,Michael Palardy,False,31,34
