Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-24,11.0,12.0,22.17,CHI,NYG,W 19-14,True,13,22,1.69,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,63%,0,0%,0,0%,False,David Montgomery,True,19,14
2019.0,2019-11-28,12.0,13.0,22.174,CHI,DET,W 24-20,False,16,75,4.69,0,2,2,12,6.00,1,100.0%,6.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,60%,0,0%,0,0%,True,David Montgomery,True,24,20
2019.0,2019-12-05,13.0,14.0,22.181,CHI,DAL,W 31-24,False,20,86,4.30,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,45,64%,0,0%,1,3%,False,David Montgomery,True,31,24
2019.0,2019-12-15,14.0,15.0,22.191,CHI,GNB,L 13-21,False,14,39,2.79,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,43%,0,0%,0,0%,True,David Montgomery,False,13,21
2019.0,2019-12-22,15.0,16.0,22.198,CHI,KAN,L 3-26,True,13,57,4.38,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,56%,0,0%,0,0%,False,David Montgomery,False,3,26
2019.0,2019-12-29,16.0,17.0,22.205,CHI,MIN,W 21-19,False,23,113,4.91,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,65%,0,0%,0,0%,True,David Montgomery,True,21,19
2020.0,2020-09-13,1.0,1.0,23.098,CHI,DET,W 27-23,True,13,64,4.92,0,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,45%,0,0%,0,0%,True,David Montgomery,True,27,23
2020.0,2020-09-20,2.0,2.0,23.105,CHI,NYG,W 17-13,True,16,82,5.13,0,3,3,45,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,35,54%,0,0%,0,0%,False,David Montgomery,True,17,13
2020.0,2020-09-27,3.0,3.0,23.112,CHI,ATL,W 30-26,True,14,45,3.21,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,56%,0,0%,0,0%,True,David Montgomery,True,30,26
2020.0,2020-10-04,4.0,4.0,23.119,CHI,IND,L 11-19,True,10,27,2.70,0,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,False,David Montgomery,False,11,19
