Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-12-07,13,14,26.174,CIN,PIT,True,4,3,23,7.67,1,75.0%,5.75,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,87%,0,0%,3,9%,False,False,21,42,Jermaine Gresham
2014,2014-12-14,14,15,,CIN,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,30,0,Jermaine Gresham
2014,2014-12-22,15,16,26.189,CIN,DEN,True,10,9,62,6.89,1,90.0%,6.20,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,58,92%,0,0%,7,19%,False,True,37,28,Jermaine Gresham
2014,2014-12-28,16,17,26.195,CIN,PIT,True,3,3,20,6.67,1,100.0%,6.67,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,51%,0,0%,1,4%,True,False,17,27,Jermaine Gresham
2015,2015-09-13,1,1,27.089,ARI,NOR,True,1,1,4,4.00,0,100.0%,4.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,39%,0,0%,0,0%,False,True,31,19,Jermaine Gresham
2015,2015-09-20,2,2,27.096,ARI,CHI,True,1,1,5,5.00,0,100.0%,5.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,42%,0,0%,0,0%,True,True,48,23,Jermaine Gresham
2015,2015-09-27,3,3,27.103,ARI,SFO,True,3,2,34,17.00,0,66.7%,11.33,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,66%,0,0%,0,0%,False,True,47,7,Jermaine Gresham
2015,2015-10-04,4,4,27.110,ARI,STL,True,3,1,8,8.00,0,33.3%,2.67,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,30%,0,0%,0,0%,False,False,22,24,Jermaine Gresham
2015,2015-10-11,5,5,27.117,ARI,DET,False,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,43%,0,0%,0,0%,True,True,42,17,Jermaine Gresham
2015,2015-10-18,6,6,27.124,ARI,PIT,True,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,49%,0,0%,0,0%,True,False,13,25,Jermaine Gresham
