Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-12-30,16,17,,BAL,@,CIN,L 17-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Anquan Boldin
2013,2013-09-08,1,1,32.340,SFO,,GNB,W 34-28,True,17,13,208,16.00,1,76.5%,12.24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,60,78%,0,0%,0,0%,False,Anquan Boldin
2013,2013-09-15,2,2,32.347,SFO,@,SEA,L 3-29,True,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,51,96%,0,0%,0,0%,True,Anquan Boldin
2013,2013-09-22,3,3,32.354,SFO,,IND,L 7-27,True,8,5,67,13.40,0,62.5%,8.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,49,92%,0,0%,0,0%,False,Anquan Boldin
2013,2013-09-26,4,4,32.358,SFO,@,STL,W 35-11,True,7,5,90,18.00,1,71.4%,12.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,54,78%,0,0%,1,3%,True,Anquan Boldin
2013,2013-10-06,5,5,33.003,SFO,,HOU,W 34-3,True,6,2,21,10.50,0,33.3%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,29,55%,0,0%,0,0%,False,Anquan Boldin
2013,2013-10-13,6,6,33.010,SFO,,ARI,W 32-20,True,8,3,28,9.33,0,37.5%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,61,87%,0,0%,0,0%,False,Anquan Boldin
2013,2013-10-20,7,7,33.017,SFO,@,TEN,W 31-17,True,6,5,74,14.80,0,83.3%,12.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,43,66%,0,0%,1,3%,True,Anquan Boldin
2013,2013-10-27,8,8,33.024,SFO,@,JAX,W 42-10,True,6,4,56,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,40,70%,0,0%,0,0%,True,Anquan Boldin
2013,2013-11-10,9,10,33.038,SFO,,CAR,L 9-10,True,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,47,89%,0,0%,0,0%,False,Anquan Boldin
