Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-12-14,14,15,33.199,TAM,@,ATL,L 10-13,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0,,0,,,,,,,True,Matt Bryant
2008,2008-12-21,15,16,33.206,TAM,,SDG,L 24-41,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2008,2008-12-28,16,17,33.213,TAM,,OAK,L 24-31,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2009,2009-12-06,12,13,34.191,ATL,,PHI,L 7-34,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2009,2009-12-13,13,14,34.198,ATL,,NOR,L 23-26,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2009,2009-12-20,14,15,34.205,ATL,@,NYJ,W 10-7,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2009,2009-12-27,15,16,34.212,ATL,,BUF,W 31-3,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,1,36,36.00,0,,,,,,,False,Matt Bryant
2009,2010-01-03,16,17,34.219,ATL,@,TAM,W 20-10,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-09-12,1,1,35.106,ATL,@,PIT,L 9-15,False,,,,3,4,75.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-09-19,2,2,35.113,ATL,,ARI,W 41-7,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2010,2010-09-26,3,3,35.120,ATL,@,NOR,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-10-03,4,4,35.127,ATL,,SFO,W 16-14,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2010,2010-10-10,5,5,35.134,ATL,@,CLE,W 20-10,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-10-17,6,6,35.141,ATL,@,PHI,L 17-31,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-10-24,7,7,35.148,ATL,,CIN,W 39-32,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2010,2010-11-07,8,9,35.162,ATL,,TAM,W 27-21,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2010,2010-11-11,9,10,35.166,ATL,,BAL,W 26-21,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2010,2010-11-21,10,11,35.176,ATL,@,STL,W 34-17,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-11-28,11,12,35.183,ATL,,GNB,W 20-17,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2010,2010-12-05,12,13,35.190,ATL,@,TAM,W 28-24,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-12-12,13,14,35.197,ATL,@,CAR,W 31-10,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-12-19,14,15,35.204,ATL,@,SEA,W 34-18,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2010,2010-12-27,15,16,35.212,ATL,,NOR,L 14-17,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2010,2011-01-02,16,17,35.218,ATL,,CAR,W 31-10,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2011,2011-09-11,1,1,36.105,ATL,@,CHI,L 12-30,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2011,2011-09-18,2,2,36.112,ATL,,PHI,W 35-31,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2011,2011-09-25,3,3,36.119,ATL,@,TAM,L 13-16,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2011,2011-10-02,4,4,36.126,ATL,@,SEA,W 30-28,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2011,2011-10-09,5,5,36.133,ATL,,GNB,L 14-25,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2011,2011-10-16,6,6,36.140,ATL,,CAR,W 31-17,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2011,2011-10-23,7,7,36.147,ATL,@,DET,W 23-16,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2011,2011-11-06,8,9,36.161,ATL,@,IND,W 31-7,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2011,2011-11-13,9,10,36.168,ATL,,NOR,L 23-26,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2011,2011-11-20,10,11,36.175,ATL,,TEN,W 23-17,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2011,2011-11-27,11,12,36.182,ATL,,MIN,W 24-14,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2011,2011-12-04,12,13,36.189,ATL,@,HOU,L 10-17,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2011,2011-12-11,13,14,36.196,ATL,@,CAR,W 31-23,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2011,2011-12-15,14,15,36.200,ATL,,JAX,W 41-14,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2011,2011-12-26,15,16,36.211,ATL,@,NOR,L 16-45,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2011,2012-01-01,16,17,36.217,ATL,,TAM,W 45-24,False,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2012,2012-09-09,1,1,37.103,ATL,@,KAN,W 40-24,False,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,28%,True,Matt Bryant
2012,2012-09-17,2,2,37.111,ATL,,DEN,W 27-21,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,17%,False,Matt Bryant
2012,2012-09-23,3,3,37.117,ATL,@,SDG,W 27-3,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,19%,True,Matt Bryant
