Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2021-01-03,16,17,25.231,LAC,@,KAN,W 38-21,True,7,18,2.57,0,7,6,33,5.50,1,85.7%,4.71,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,43%,0,0%,0,0%,True,Austin Ekeler
2021,2021-09-12,1,1,26.118,LAC,@,WAS,W 20-16,True,15,57,3.80,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,58%,0,0%,0,0%,True,Austin Ekeler
2021,2021-09-19,2,2,26.125,LAC,,DAL,L 17-20,True,9,54,6.00,0,9,9,61,6.78,0,100.0%,6.78,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,45,63%,0,0%,0,0%,False,Austin Ekeler
2021,2021-09-26,3,3,26.132,LAC,@,KAN,W 30-24,True,11,55,5.00,0,6,6,52,8.67,1,100.0%,8.67,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,74%,0,0%,0,0%,True,Austin Ekeler
2021,2021-10-04,4,4,26.140,LAC,,LVR,W 28-14,True,15,117,7.80,1,5,3,28,9.33,1,60.0%,5.60,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,45,60%,0,0%,0,0%,False,Austin Ekeler
2021,2021-10-10,5,5,26.146,LAC,,CLE,W 47-42,True,17,66,3.88,2,5,5,53,10.60,1,100.0%,10.60,0,0,,0,,3,18,0.0,0,0,0,0,0,2,1,0,0,0,0,53,71%,0,0%,0,0%,False,Austin Ekeler
2021,2021-10-17,6,6,26.153,LAC,@,BAL,L 6-34,True,6,7,1.17,0,7,4,48,12.00,0,57.1%,6.86,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,61%,0,0%,0,0%,True,Austin Ekeler
2021,2021-10-31,7,8,26.167,LAC,,NWE,L 24-27,True,11,64,5.82,1,10,6,60,10.00,0,60.0%,6.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,False,Austin Ekeler
2021,2021-11-07,8,9,26.174,LAC,@,PHI,W 27-24,True,17,59,3.47,0,3,3,23,7.67,0,100.0%,7.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,67%,0,0%,0,0%,True,Austin Ekeler
2021,2021-11-14,9,10,26.181,LAC,,MIN,L 20-27,True,11,44,4.00,0,6,3,15,5.00,1,50.0%,2.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,71%,0,0%,0,0%,False,Austin Ekeler
2021,2021-11-21,10,11,26.188,LAC,,PIT,W 41-37,True,11,50,4.55,2,7,6,65,10.83,2,85.7%,9.29,0,0,,0,,4,24,0.0,0,0,0,0,0,0,0,0,0,0,0,53,70%,0,0%,0,0%,False,Austin Ekeler
2021,2021-11-28,11,12,26.195,LAC,@,DEN,L 13-28,True,12,31,2.58,0,8,6,68,11.33,1,75.0%,8.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,68%,0,0%,0,0%,True,Austin Ekeler
2021,2021-12-05,12,13,26.202,LAC,@,CIN,W 41-22,True,14,59,4.21,1,5,5,45,9.00,0,100.0%,9.00,0,0,,0,,1,6,0.0,0,0,0,0,0,2,2,0,0,0,0,47,73%,0,0%,0,0%,True,Austin Ekeler
2021,2021-12-12,13,14,26.209,LAC,,NYG,W 37-21,True,12,67,5.58,1,4,2,17,8.50,0,50.0%,4.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,46%,0,0%,0,0%,False,Austin Ekeler
2021,2021-12-16,14,15,26.213,LAC,,KAN,L 28-34,True,12,59,4.92,1,4,4,23,5.75,0,100.0%,5.75,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,34%,0,0%,0,0%,False,Austin Ekeler
2021,2021-12-26,15,16,,LAC,@,HOU,L 29-41,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Austin Ekeler
2021,2022-01-02,16,17,26.230,LAC,,DEN,W 34-13,True,17,58,3.41,1,3,3,54,18.00,0,100.0%,18.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,58%,0,0%,0,0%,False,Austin Ekeler
2021,2022-01-09,17,18,26.237,LAC,@,LVR,L 32-35,True,16,64,4.00,1,12,5,35,7.00,1,41.7%,2.92,0,0,,0,1,2,14,0.0,0,0,0,0,0,0,0,0,0,0,0,78,84%,0,0%,0,0%,True,Austin Ekeler
,72 Games,,,,,,,39-33-0,False,607,2812,4.63,21,355,282,2726,9.67,24,79.4%,7.68,5,85,17.00,0,2,45,274,0.0,22,4,26,0,0,11,8,0,4,0,0,,,,,,,False,Austin Ekeler
