Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-11-23,11,12,29.128,SEA,WAS,True,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,17,20,Deion Branch
2008,2008-11-27,12,13,29.132,SEA,DAL,True,11,5,56,11.20,0,45.5%,5.09,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,9,34,Deion Branch
2008,2008-12-07,13,14,29.142,SEA,NWE,True,7,4,88,22.00,2,57.1%,12.57,0,0,,0,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,False,21,24,Deion Branch
2008,2008-12-14,14,15,29.149,SEA,STL,True,7,5,76,15.20,0,71.4%,10.86,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Deion Branch
2008,2008-12-21,15,16,29.156,SEA,NYJ,True,4,2,6,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,13,3,Deion Branch
2008,2008-12-28,16,17,29.163,SEA,ARI,True,12,6,90,15.00,2,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,True,False,21,34,Deion Branch
2009,2009-09-13,1,1,,SEA,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,28,0,Deion Branch
2009,2009-09-20,2,2,,SEA,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,23,Deion Branch
2009,2009-09-27,3,3,30.071,SEA,CHI,False,3,2,13,6.50,0,66.7%,4.33,1,-8,-8.00,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,19,25,Deion Branch
2009,2009-10-04,4,4,30.078,SEA,IND,False,6,6,49,8.17,0,100.0%,8.17,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,34,Deion Branch
2009,2009-10-11,5,5,30.085,SEA,JAX,True,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,41,0,Deion Branch
2009,2009-10-18,6,6,30.092,SEA,ARI,False,7,2,9,4.50,0,28.6%,1.29,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,3,27,Deion Branch
2009,2009-11-01,7,8,30.106,SEA,DAL,False,4,3,36,12.00,1,75.0%,9.00,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,17,38,Deion Branch
2009,2009-11-08,8,9,30.113,SEA,DET,True,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,False,True,32,20,Deion Branch
2009,2009-11-15,9,10,30.120,SEA,ARI,False,8,4,50,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,20,31,Deion Branch
2009,2009-11-22,10,11,30.127,SEA,MIN,False,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,9,35,Deion Branch
2009,2009-11-29,11,12,30.134,SEA,STL,False,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,27,17,Deion Branch
2009,2009-12-06,12,13,30.141,SEA,SFO,False,5,1,7,7.00,1,20.0%,1.40,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,20,17,Deion Branch
2009,2009-12-13,13,14,30.148,SEA,HOU,False,7,5,33,6.60,0,71.4%,4.71,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,7,34,Deion Branch
2009,2009-12-20,14,15,30.155,SEA,TAM,True,10,4,28,7.00,0,40.0%,2.80,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,7,24,Deion Branch
2009,2009-12-27,15,16,30.162,SEA,GNB,True,9,5,53,10.60,0,55.6%,5.89,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,48,Deion Branch
2009,2010-01-03,16,17,30.169,SEA,TEN,True,8,4,77,19.25,0,50.0%,9.63,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,17,Deion Branch
2010,2010-09-12,1,1,31.056,SEA,SFO,True,3,3,11,3.67,1,100.0%,3.67,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,31,6,Deion Branch
2010,2010-09-19,2,2,31.063,SEA,DEN,True,7,4,31,7.75,0,57.1%,4.43,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,31,Deion Branch
2010,2010-09-26,3,3,31.070,SEA,SDG,True,6,5,60,12.00,0,83.3%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,False,True,27,20,Deion Branch
2010,2010-10-03,4,4,31.077,SEA,STL,False,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,20,Deion Branch
2010,2010-10-17,5,6,31.091,NWE,BAL,True,12,9,98,10.89,1,75.0%,8.17,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,,,,,,,False,True,23,20,Deion Branch
2010,2010-10-24,6,7,31.098,NWE,SDG,False,8,4,39,9.75,0,50.0%,4.88,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,True,True,23,20,Deion Branch
2010,2010-10-31,7,8,31.105,NWE,MIN,True,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,False,True,28,18,Deion Branch
2010,2010-11-07,8,9,31.112,NWE,CLE,False,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,True,False,14,34,Deion Branch
2010,2010-11-14,9,10,31.119,NWE,PIT,True,8,7,71,10.14,0,87.5%,8.88,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,True,True,39,26,Deion Branch
2010,2010-11-21,10,11,31.126,NWE,IND,True,10,7,70,10.00,0,70.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,False,True,31,28,Deion Branch
2010,2010-11-25,11,12,31.130,NWE,DET,True,5,3,113,37.67,2,60.0%,22.60,0,0,,0,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,,,,,,,True,True,45,24,Deion Branch
2010,2010-12-06,12,13,31.141,NWE,NYJ,True,7,3,64,21.33,1,42.9%,9.14,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,,,,,,,False,True,45,3,Deion Branch
2010,2010-12-12,13,14,31.147,NWE,CHI,True,10,8,151,18.88,1,80.0%,15.10,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,,,,,,,True,True,36,7,Deion Branch
2010,2010-12-19,14,15,31.154,NWE,GNB,True,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,False,True,31,27,Deion Branch
2010,2010-12-26,15,16,31.161,NWE,BUF,True,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,True,True,34,3,Deion Branch
2010,2011-01-02,16,17,,NWE,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,7,Deion Branch
2011,2011-09-12,1,1,32.056,NWE,MIA,True,9,7,93,13.29,0,77.8%,10.33,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,38,24,Deion Branch
2011,2011-09-18,2,2,32.062,NWE,SDG,True,10,8,129,16.13,0,80.0%,12.90,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,35,21,Deion Branch
