Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-11-19,10.0,11.0,24.179,PHI,DAL,W 37-9,False,5,1,-2,-2.00,0,20.0%,-0.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,73%,0,0%,0,0%,True,Nelson Agholor,True,37,9
2017.0,2017-11-26,11.0,12.0,24.186,PHI,CHI,W 31-3,True,6,3,32,10.67,1,50.0%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,1,0,1,65,83%,0,0%,0,0%,False,Nelson Agholor,True,31,3
2017.0,2017-12-03,12.0,13.0,24.193,PHI,SEA,L 10-24,True,12,7,141,20.14,1,58.3%,11.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,66,88%,0,0%,0,0%,True,Nelson Agholor,False,10,24
2017.0,2017-12-10,13.0,14.0,24.2,PHI,LAR,W 43-35,True,11,8,64,8.00,0,72.7%,5.82,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,78,85%,0,0%,0,0%,True,Nelson Agholor,True,43,35
2017.0,2017-12-17,14.0,15.0,24.207,PHI,NYG,W 34-29,True,9,7,59,8.43,1,77.8%,6.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,48,72%,0,0%,0,0%,True,Nelson Agholor,True,34,29
2017.0,2017-12-25,15.0,16.0,24.215,PHI,OAK,W 19-10,True,7,4,35,8.75,0,57.1%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,58,87%,0,0%,0,0%,False,Nelson Agholor,True,19,10
2017.0,2017-12-31,16.0,17.0,24.221,PHI,DAL,L 0-6,False,3,3,11,3.67,0,100.0%,3.67,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,30,51%,0,0%,0,0%,False,Nelson Agholor,False,0,6
2018.0,2018-09-06,1.0,1.0,25.105,PHI,ATL,W 18-12,True,10,8,33,4.13,0,80.0%,3.30,1,16,16.00,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,94%,0,0%,0,0%,False,Nelson Agholor,True,18,12
2018.0,2018-09-16,2.0,2.0,25.115,PHI,TAM,L 21-27,True,12,8,88,11.00,1,66.7%,7.33,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,1,6,0,0,0,0,0,0,72,91%,0,0%,1,4%,True,Nelson Agholor,False,21,27
2018.0,2018-09-23,3.0,3.0,25.122,PHI,IND,W 20-16,True,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,80,98%,0,0%,0,0%,False,Nelson Agholor,True,20,16
