Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-11-28,12,13,26.270,NOR,@,ATL,W 26-18,True,8,6,48,8.00,0,75.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,80%,0,0%,3,10%,True,Michael Thomas
2019,2019-12-08,13,14,26.280,NOR,,SFO,L 46-48,True,15,11,134,12.18,1,73.3%,8.93,0,0,,0,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,70,97%,0,0%,0,0%,False,Michael Thomas
2019,2019-12-16,14,15,26.288,NOR,,IND,W 34-7,True,12,12,128,10.67,1,100.0%,10.67,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,72%,0,0%,0,0%,False,Michael Thomas
2019,2019-12-22,15,16,26.294,NOR,@,TEN,W 38-28,True,17,12,136,11.33,1,70.6%,8.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,87%,0,0%,0,0%,True,Michael Thomas
2019,2019-12-29,16,17,26.301,NOR,@,CAR,W 42-10,True,9,4,37,9.25,0,44.4%,4.11,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,67%,0,0%,0,0%,True,Michael Thomas
2020,2020-09-13,1,1,27.194,NOR,,TAM,W 34-23,True,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,81%,0,0%,0,0%,False,Michael Thomas
2020,2020-09-21,2,2,,NOR,@,LVR,L 24-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Michael Thomas
2020,2020-09-27,3,3,,NOR,,GNB,L 30-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Michael Thomas
2020,2020-10-04,4,4,,NOR,@,DET,W 35-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Michael Thomas
2020,2020-10-12,5,5,,NOR,,LAC,W 30-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Michael Thomas
