Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-11-25,11,12,26.008,IND,DET,True,5,3,37,12.33,0,60.0%,7.40,1,-4,-4.00,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,41,9,Reggie Wayne
2004,2004-12-05,12,13,26.018,IND,TEN,True,7,6,96,16.00,1,85.7%,13.71,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,51,24,Reggie Wayne
2004,2004-12-12,13,14,26.025,IND,HOU,True,11,7,96,13.71,1,63.6%,8.73,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,True,23,14,Reggie Wayne
2004,2004-12-19,14,15,26.032,IND,BAL,True,9,8,88,11.00,0,88.9%,9.78,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,20,10,Reggie Wayne
2004,2004-12-26,15,16,26.039,IND,SDG,True,8,3,61,20.33,0,37.5%,7.63,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,34,31,Reggie Wayne
2004,2005-01-02,16,17,26.046,IND,DEN,True,3,3,90,30.00,1,100.0%,30.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,False,14,33,Reggie Wayne
2005,2005-09-11,1,1,26.298,IND,BAL,True,8,4,50,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,24,7,Reggie Wayne
2005,2005-09-18,2,2,26.305,IND,JAX,True,7,3,19,6.33,0,42.9%,2.71,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,10,3,Reggie Wayne
2005,2005-09-25,3,3,26.312,IND,CLE,True,6,6,97,16.17,0,100.0%,16.17,0,0,,0,0,0,,0,0,0,,,,,,,0,0,1,0,0,1,0,0,,,,,,,False,True,13,6,Reggie Wayne
2005,2005-10-02,4,4,26.319,IND,TEN,True,3,2,48,24.00,1,66.7%,16.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,True,31,10,Reggie Wayne
2005,2005-10-09,5,5,26.326,IND,SFO,True,10,6,75,12.50,0,60.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,28,3,Reggie Wayne
2005,2005-10-17,6,6,26.334,IND,STL,True,10,7,59,8.43,1,70.0%,5.90,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,45,28,Reggie Wayne
2005,2005-10-23,7,7,26.340,IND,HOU,True,9,9,89,9.89,0,100.0%,9.89,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,38,20,Reggie Wayne
2005,2005-11-07,8,9,26.355,IND,NWE,True,12,9,124,13.78,1,75.0%,10.33,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,True,40,21,Reggie Wayne
2005,2005-11-13,9,10,26.361,IND,HOU,True,9,8,72,9.00,0,88.9%,8.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,31,17,Reggie Wayne
2005,2005-11-20,10,11,27.003,IND,CIN,True,9,5,117,23.40,1,55.6%,13.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,True,45,37,Reggie Wayne
2005,2005-11-28,11,12,27.011,IND,PIT,True,7,5,62,12.40,0,71.4%,8.86,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,26,7,Reggie Wayne
2005,2005-12-04,12,13,27.017,IND,TEN,True,3,3,50,16.67,1,100.0%,16.67,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,35,3,Reggie Wayne
2005,2005-12-11,13,14,27.024,IND,JAX,True,8,4,81,20.25,0,50.0%,10.13,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,26,18,Reggie Wayne
2005,2005-12-18,14,15,27.031,IND,SDG,True,16,10,91,9.10,0,62.5%,5.69,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,17,26,Reggie Wayne
2005,2005-12-24,15,16,27.037,IND,SEA,True,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,13,28,Reggie Wayne
2005,2006-01-01,16,17,27.045,IND,ARI,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,17,13,Reggie Wayne
2006,2006-09-10,1,1,27.297,IND,NYG,True,8,4,67,16.75,0,50.0%,8.38,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,26,21,Reggie Wayne
2006,2006-09-17,2,2,27.304,IND,HOU,True,9,6,135,22.50,0,66.7%,15.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,43,24,Reggie Wayne
