Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-11-27,11.0,12.0,25.125,DEN,KAN,L 27-30,False,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,12,29%,False,Brandon McManus,False,27,30
2016.0,2016-12-04,12.0,13.0,25.132,DEN,JAX,W 20-10,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,27%,True,Brandon McManus,True,20,10
2016.0,2016-12-11,13.0,14.0,25.139,DEN,TEN,L 10-13,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,20%,True,Brandon McManus,False,10,13
2016.0,2016-12-18,14.0,15.0,25.146,DEN,NWE,L 3-16,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,12%,False,Brandon McManus,False,3,16
2016.0,2016-12-25,15.0,16.0,25.153,DEN,KAN,L 10-33,False,1,6,6.00,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,19%,True,Brandon McManus,False,10,33
2016.0,2017-01-01,16.0,17.0,25.16,DEN,OAK,W 24-6,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,38%,False,Brandon McManus,True,24,6
2017.0,2017-09-11,1.0,1.0,26.048,DEN,LAC,W 24-21,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,38%,False,Brandon McManus,True,24,21
2017.0,2017-09-17,2.0,2.0,26.054,DEN,DAL,W 42-17,False,0,0,,0,6,6,100.0,,1,0.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,50%,False,Brandon McManus,True,42,17
2017.0,2017-09-24,3.0,3.0,26.061,DEN,BUF,L 16-26,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,28%,True,Brandon McManus,False,16,26
2017.0,2017-10-01,4.0,4.0,26.068,DEN,OAK,W 16-10,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,0,1,1,0,0,0,0,,0,0,0%,0,0%,10,36%,False,Brandon McManus,True,16,10
2017.0,2017-10-15,5.0,6.0,26.082,DEN,NYG,L 10-23,False,0,0,,0,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,25%,False,Brandon McManus,False,10,23
2017.0,2017-10-22,6.0,7.0,26.089,DEN,LAC,L 0-21,False,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,1,4%,True,Brandon McManus,False,0,21
2017.0,2017-10-30,7.0,8.0,26.097,DEN,KAN,L 19-29,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,25%,True,Brandon McManus,False,19,29
