Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-11-13,9.0,10.0,27.004,MIN,WAS,L 20-26,True,8,5,69,13.80,1,62.5%,8.63,0,0,,0,,1,6,0,0,0,0,0,0,57,85%,0,0%,3,12%,True,Kyle Rudolph,False,20,26
2016.0,2016-11-20,10.0,11.0,27.011,MIN,ARI,W 30-24,True,3,2,12,6.00,0,66.7%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,55,95%,0,0%,5,17%,False,Kyle Rudolph,True,30,24
2016.0,2016-11-24,11.0,12.0,27.015,MIN,DET,L 13-16,True,10,9,64,7.11,0,90.0%,6.40,0,0,,0,,0,0,0,0,0,0,0,0,51,88%,0,0%,3,13%,True,Kyle Rudolph,False,13,16
2016.0,2016-12-01,12.0,13.0,27.022,MIN,DAL,L 15-17,True,12,6,45,7.50,0,50.0%,3.75,0,0,,0,,0,0,0,0,0,0,0,0,63,85%,0,0%,3,11%,False,Kyle Rudolph,False,15,17
2016.0,2016-12-11,13.0,14.0,27.032,MIN,JAX,W 25-16,True,8,4,60,15.00,1,50.0%,7.50,0,0,,0,,1,6,0,0,0,0,0,0,64,97%,0,0%,6,19%,True,Kyle Rudolph,True,25,16
2016.0,2016-12-18,14.0,15.0,27.039,MIN,IND,L 6-34,True,10,8,97,12.13,0,80.0%,9.70,0,0,,0,,0,0,0,0,0,0,0,0,56,97%,0,0%,2,8%,False,Kyle Rudolph,False,6,34
2016.0,2016-12-24,15.0,16.0,27.045,MIN,GNB,L 25-38,True,9,6,53,8.83,0,66.7%,5.89,0,0,,0,,0,0,0,0,0,0,0,0,75,96%,0,0%,4,12%,True,Kyle Rudolph,False,25,38
2016.0,2017-01-01,16.0,17.0,27.053,MIN,CHI,W 38-10,True,15,11,117,10.64,1,73.3%,7.80,0,0,,0,,1,6,0,0,0,0,0,0,48,76%,0,0%,6,27%,False,Kyle Rudolph,True,38,10
2017.0,2017-09-11,1.0,1.0,27.306,MIN,NOR,W 29-19,True,3,3,26,8.67,1,100.0%,8.67,0,0,,0,,1,6,0,0,0,0,0,0,55,85%,0,0%,7,24%,False,Kyle Rudolph,True,29,19
2017.0,2017-09-17,2.0,2.0,27.312,MIN,PIT,L 9-26,True,6,4,45,11.25,0,66.7%,7.50,0,0,,0,,0,0,0,0,0,0,0,0,62,95%,0,0%,1,3%,True,Kyle Rudolph,False,9,26
