Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-12-28,16,17,25.098,GNB,DET,True,10,5,101,20.20,0,50.0%,10.10,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,31,21,Greg Jennings
2009,2009-09-13,1,1,25.357,GNB,CHI,True,8,6,106,17.67,1,75.0%,13.25,0,0,,0,0,0,,0,1,1,8,0,,0,0,0,0,,,,,,,False,True,21,15,Greg Jennings
2009,2009-09-20,2,2,25.364,GNB,CIN,False,5,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,False,24,31,Greg Jennings
2009,2009-09-27,3,3,26.006,GNB,STL,False,4,2,103,51.50,0,50.0%,25.75,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,36,17,Greg Jennings
2009,2009-10-05,4,4,26.014,GNB,MIN,True,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,23,30,Greg Jennings
2009,2009-10-18,5,6,26.027,GNB,DET,True,8,6,64,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,26,0,Greg Jennings
2009,2009-10-25,6,7,26.034,GNB,CLE,True,8,5,52,10.40,0,62.5%,6.50,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,31,3,Greg Jennings
2009,2009-11-01,7,8,26.041,GNB,MIN,True,11,7,81,11.57,1,63.6%,7.36,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,26,38,Greg Jennings
2009,2009-11-08,8,9,26.048,GNB,TAM,True,10,5,61,12.20,0,50.0%,6.10,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,28,38,Greg Jennings
2009,2009-11-15,9,10,26.055,GNB,DAL,True,7,4,45,11.25,0,57.1%,6.43,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,17,7,Greg Jennings
