Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_Sfty,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-11-09,9.0,10.0,24.276,SEA,NYG,W 38-17,True,4,3,70,23.33,0,75.0%,17.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,81%,0,0%,5,20%,False,Jermaine Kearse,True,38,17
2014.0,2014-11-16,10.0,11.0,24.283,SEA,KAN,L 20-24,True,9,5,54,10.80,0,55.6%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,92%,0,0%,4,19%,True,Jermaine Kearse,False,20,24
2014.0,2014-11-23,11.0,12.0,24.29,SEA,ARI,W 19-3,True,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,59%,0,0%,7,27%,False,Jermaine Kearse,True,19,3
2014.0,2014-11-27,12.0,13.0,24.294,SEA,SFO,W 19-3,True,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,75%,0,0%,8,33%,True,Jermaine Kearse,True,19,3
2014.0,2014-12-07,13.0,14.0,24.304,SEA,PHI,W 24-14,True,7,3,37,12.33,0,42.9%,5.29,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,70%,0,0%,4,14%,True,Jermaine Kearse,True,24,14
2014.0,2014-12-14,14.0,15.0,24.311,SEA,SFO,W 17-7,True,6,5,78,15.60,0,83.3%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,83%,0,0%,3,16%,False,Jermaine Kearse,True,17,7
2014.0,2014-12-21,15.0,16.0,24.318,SEA,ARI,W 35-6,True,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,42%,0,0%,2,6%,True,Jermaine Kearse,True,35,6
2014.0,2014-12-28,16.0,17.0,,SEA,STL,W 20-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jermaine Kearse,True,20,6
2015.0,2015-09-13,1.0,1.0,25.219,SEA,STL,L 31-34,True,10,8,76,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,74,91%,0,0%,4,12%,True,Jermaine Kearse,False,31,34
2015.0,2015-09-20,2.0,2.0,25.226,SEA,GNB,L 17-27,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,72%,0,0%,5,19%,True,Jermaine Kearse,False,17,27
2015.0,2015-09-27,3.0,3.0,25.233,SEA,CHI,W 26-0,True,6,6,76,12.67,0,100.0%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,62%,0,0%,4,15%,False,Jermaine Kearse,True,26,0
2015.0,2015-10-05,4.0,4.0,25.241,SEA,DET,W 13-10,True,2,2,84,42.00,0,100.0%,42.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,77%,0,0%,5,21%,False,Jermaine Kearse,True,13,10
2015.0,2015-10-11,5.0,5.0,25.247,SEA,CIN,L 24-27,True,3,2,38,19.00,1,66.7%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,38,63%,0,0%,5,16%,True,Jermaine Kearse,False,24,27
2015.0,2015-10-18,6.0,6.0,25.254,SEA,CAR,L 23-27,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,59%,0,0%,5,16%,False,Jermaine Kearse,False,23,27
2015.0,2015-10-22,7.0,7.0,25.258,SEA,SFO,W 20-3,True,4,3,64,21.33,0,75.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,45,62%,0,0%,5,20%,True,Jermaine Kearse,True,20,3
2015.0,2015-11-01,8.0,8.0,25.268,SEA,DAL,W 13-12,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,71%,0,0%,1,4%,True,Jermaine Kearse,True,13,12
2015.0,2015-11-15,9.0,10.0,25.282,SEA,ARI,L 32-39,True,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,80%,0,0%,0,0%,False,Jermaine Kearse,False,32,39
2015.0,2015-11-22,10.0,11.0,25.289,SEA,SFO,W 29-13,True,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,76%,0,0%,2,7%,False,Jermaine Kearse,True,29,13
2015.0,2015-11-29,11.0,12.0,25.296,SEA,PIT,W 39-30,True,5,4,47,11.75,2,80.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,1,1,0,0,1,0,0,0,0,0,53,85%,0,0%,4,13%,False,Jermaine Kearse,True,39,30
2015.0,2015-12-06,12.0,13.0,25.303,SEA,MIN,W 38-7,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,66%,0,0%,2,8%,True,Jermaine Kearse,True,38,7
2015.0,2015-12-13,13.0,14.0,25.31,SEA,BAL,W 35-6,True,8,7,74,10.57,0,87.5%,9.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,71%,0,0%,1,4%,True,Jermaine Kearse,True,35,6
2015.0,2015-12-20,14.0,15.0,25.317,SEA,CLE,W 30-13,True,8,7,110,15.71,0,87.5%,13.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,68%,0,0%,0,0%,False,Jermaine Kearse,True,30,13
2015.0,2015-12-27,15.0,16.0,25.324,SEA,STL,L 17-23,True,5,3,38,12.67,1,60.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,54,74%,0,0%,3,11%,False,Jermaine Kearse,False,17,23
2015.0,2016-01-03,16.0,17.0,25.331,SEA,ARI,W 36-6,True,3,3,34,11.33,1,100.0%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,43,60%,0,0%,0,0%,True,Jermaine Kearse,True,36,6
2016.0,2016-09-11,1.0,1.0,26.218,SEA,MIA,W 12-10,True,7,5,57,11.40,0,71.4%,8.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,85%,0,0%,2,8%,False,Jermaine Kearse,True,12,10
2016.0,2016-09-18,2.0,2.0,26.225,SEA,LAR,L 3-9,False,6,2,11,5.50,0,33.3%,1.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,82%,0,0%,0,0%,True,Jermaine Kearse,False,3,9
2016.0,2016-09-25,3.0,3.0,26.232,SEA,SFO,W 37-18,True,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,77%,0,0%,2,6%,False,Jermaine Kearse,True,37,18
2016.0,2016-10-02,4.0,4.0,26.239,SEA,NYJ,W 27-17,True,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,73%,0,0%,1,4%,True,Jermaine Kearse,True,27,17
2016.0,2016-10-16,5.0,6.0,26.253,SEA,ATL,W 26-24,True,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,80%,0,0%,1,3%,False,Jermaine Kearse,True,26,24
2016.0,2016-10-23,6.0,7.0,26.26,SEA,ARI,T 6-6,True,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,89%,0,0%,0,0%,True,Jermaine Kearse,False,6,6
2016.0,2016-10-30,7.0,8.0,26.267,SEA,NOR,L 20-25,True,7,4,57,14.25,0,57.1%,8.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,87%,0,0%,0,0%,True,Jermaine Kearse,False,20,25
2016.0,2016-11-07,8.0,9.0,26.275,SEA,BUF,W 31-25,True,4,2,36,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,85%,0,0%,0,0%,False,Jermaine Kearse,True,31,25
2016.0,2016-11-13,9.0,10.0,26.281,SEA,NWE,W 31-24,True,7,2,26,13.00,0,28.6%,3.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,80%,0,0%,0,0%,True,Jermaine Kearse,True,31,24
2016.0,2016-11-20,10.0,11.0,26.288,SEA,PHI,W 26-15,True,6,2,29,14.50,0,33.3%,4.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,70%,0,0%,2,7%,False,Jermaine Kearse,True,26,15
2016.0,2016-11-27,11.0,12.0,26.295,SEA,TAM,L 5-14,True,5,1,18,18.00,0,20.0%,3.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,79%,0,0%,2,10%,True,Jermaine Kearse,False,5,14
2016.0,2016-12-04,12.0,13.0,26.302,SEA,CAR,W 40-7,True,9,5,68,13.60,0,55.6%,7.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,90%,0,0%,1,4%,False,Jermaine Kearse,True,40,7
2016.0,2016-12-11,13.0,14.0,26.309,SEA,GNB,L 10-38,True,6,1,7,7.00,0,16.7%,1.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,75%,0,0%,3,11%,True,Jermaine Kearse,False,10,38
2016.0,2016-12-15,14.0,15.0,26.313,SEA,LAR,W 24-3,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,61%,0,0%,1,5%,False,Jermaine Kearse,True,24,3
2016.0,2016-12-24,15.0,16.0,26.322,SEA,ARI,L 31-34,True,9,4,37,9.25,1,44.4%,4.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,80%,0,0%,3,9%,False,Jermaine Kearse,False,31,34
2016.0,2017-01-01,16.0,17.0,26.33,SEA,SFO,W 25-23,True,7,2,44,22.00,0,28.6%,6.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,58%,0,0%,1,3%,True,Jermaine Kearse,True,25,23
2017.0,2017-09-10,1.0,1.0,27.216,NYJ,BUF,L 12-21,True,9,7,59,8.43,0,77.8%,6.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,95%,0,0%,0,0%,True,Jermaine Kearse,False,12,21
2017.0,2017-09-17,2.0,2.0,27.223,NYJ,OAK,L 20-45,True,5,4,64,16.00,2,80.0%,12.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,49,88%,0,0%,0,0%,True,Jermaine Kearse,False,20,45
