Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-09-14,2,2,29.203,DET,CAR,True,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,49%,0,0%,3,12%,True,False,7,24,Brandon Pettigrew
2014,2014-09-21,3,3,29.210,DET,GNB,True,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,65%,0,0%,4,20%,False,True,19,7,Brandon Pettigrew
2014,2014-09-28,4,4,29.217,DET,NYJ,True,2,2,19,9.50,0,100.0%,9.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,83%,0,0%,6,20%,True,True,24,17,Brandon Pettigrew
2014,2014-10-05,5,5,29.224,DET,BUF,True,3,2,12,6.00,0,66.7%,4.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,60%,0,0%,6,19%,False,False,14,17,Brandon Pettigrew
2014,2014-10-12,6,6,29.231,DET,MIN,True,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,46,66%,0,0%,6,22%,True,True,17,3,Brandon Pettigrew
2014,2014-10-19,7,7,29.238,DET,NOR,True,6,4,28,7.00,0,66.7%,4.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,87%,0,0%,4,14%,False,True,24,23,Brandon Pettigrew
2014,2014-10-26,8,8,,DET,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,22,21,Brandon Pettigrew
2014,2014-11-09,9,10,29.259,DET,MIA,False,0,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,43,64%,0,0%,0,0%,False,True,20,16,Brandon Pettigrew
2014,2014-11-16,10,11,,DET,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,6,14,Brandon Pettigrew
2014,2014-11-23,11,12,29.273,DET,NWE,True,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,33,41%,0,0%,4,13%,True,False,9,34,Brandon Pettigrew
2014,2014-11-27,12,13,29.277,DET,CHI,True,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,60%,0,0%,6,21%,False,True,34,17,Brandon Pettigrew
2014,2014-12-07,13,14,29.287,DET,TAM,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,34,49%,0,0%,6,20%,False,True,34,17,Brandon Pettigrew
2014,2014-12-14,14,15,29.294,DET,MIN,False,0,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,37,73%,0,0%,4,17%,False,True,16,14,Brandon Pettigrew
2014,2014-12-21,15,16,29.301,DET,CHI,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,44,61%,0,0%,5,22%,True,True,20,14,Brandon Pettigrew
2014,2014-12-28,16,17,29.308,DET,GNB,False,,,,,,0.0%,,0,0,0.0,,,,0,0,0,,,0,0,0,31,45%,0,0%,2,8%,True,False,20,30,Brandon Pettigrew
2015,2015-09-13,1,1,30.202,DET,SDG,True,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,45%,0,0%,4,14%,True,False,28,33,Brandon Pettigrew
