Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-30,16,17,,IND,HOU,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,28,16,Donald Brown
2013,2013-09-08,1,1,26.150,IND,OAK,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,2%,0,0%,12,60%,False,True,21,17,Donald Brown
2013,2013-09-15,2,2,26.157,IND,MIA,False,7,30,4.29,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,23,32%,0,0%,8,30%,False,False,20,24,Donald Brown
2013,2013-09-22,3,3,26.164,IND,SFO,False,3,25,8.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,15,58%,True,True,27,7,Donald Brown
2013,2013-09-29,4,4,26.171,IND,JAX,False,3,65,21.67,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,17%,0,0%,7,26%,True,True,37,3,Donald Brown
2013,2013-10-06,5,5,26.178,IND,SEA,False,6,37,6.17,1,2,2,3,1.50,0,100.0%,1.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,18,28%,0,0%,11,35%,False,True,34,28,Donald Brown
2013,2013-10-14,6,6,26.186,IND,SDG,False,3,15,5.00,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,50%,0,0%,5,20%,True,False,9,19,Donald Brown
2013,2013-10-20,7,7,26.192,IND,DEN,False,11,23,2.09,0,3,3,42,14.00,0,100.0%,14.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,36,49%,0,0%,17,36%,False,True,39,33,Donald Brown
2013,2013-11-03,8,9,26.206,IND,HOU,False,6,49,8.17,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,37%,0,0%,6,19%,True,True,27,24,Donald Brown
2013,2013-11-10,9,10,26.213,IND,STL,False,2,-1,-0.50,0,5,5,64,12.80,1,100.0%,12.80,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,36%,0,0%,6,23%,False,False,8,38,Donald Brown
2013,2013-11-14,10,11,26.217,IND,TEN,False,14,80,5.71,2,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,36,51%,0,0%,4,14%,True,True,30,27,Donald Brown
2013,2013-11-24,11,12,26.227,IND,ARI,False,2,1,0.50,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,,0,0,0.0,1,0,1,,,0,0,0,0,0,0,16,27%,0,0%,1,4%,True,False,11,40,Donald Brown
2013,2013-12-01,12,13,26.234,IND,TEN,True,14,54,3.86,1,3,2,10,5.00,0,66.7%,3.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,49,75%,0,0%,0,0%,False,True,22,14,Donald Brown
2013,2013-12-08,13,14,26.241,IND,CIN,True,4,11,2.75,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,53%,0,0%,0,0%,True,False,28,42,Donald Brown
