Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-26,3,3,24.124,NYG,TEN,False,10,6,78,13.00,0,60.0%,7.80,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,29,Mario Manningham
2010,2010-10-03,4,4,24.131,NYG,CHI,False,1,0,0,,0,0.0%,0.00,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,False,True,17,3,Mario Manningham
2010,2010-10-10,5,5,24.138,NYG,HOU,False,2,0,0,,0,0.0%,0.00,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,34,10,Mario Manningham
2010,2010-10-17,6,6,24.145,NYG,DET,False,6,4,51,12.75,1,66.7%,8.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,28,20,Mario Manningham
2010,2010-10-25,7,7,24.153,NYG,DAL,False,4,3,40,13.33,1,75.0%,10.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,41,35,Mario Manningham
2010,2010-11-07,8,9,24.166,NYG,SEA,False,4,4,56,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,41,7,Mario Manningham
2010,2010-11-14,9,10,24.173,NYG,DAL,True,16,10,91,9.10,1,62.5%,5.69,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,33,Mario Manningham
2010,2010-11-21,10,11,24.180,NYG,PHI,True,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,27,Mario Manningham
2010,2010-11-28,11,12,24.187,NYG,JAX,True,4,3,61,20.33,1,75.0%,15.25,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,20,Mario Manningham
2010,2010-12-05,12,13,24.194,NYG,WAS,True,5,2,36,18.00,0,40.0%,7.20,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,7,Mario Manningham
2010,2010-12-13,13,14,24.202,NYG,MIN,True,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,21,3,Mario Manningham
2010,2010-12-19,14,15,24.208,NYG,PHI,False,12,8,113,14.13,2,66.7%,9.42,0,0,,0,2,12,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,31,38,Mario Manningham
2010,2010-12-26,15,16,24.215,NYG,GNB,True,6,4,132,33.00,1,66.7%,22.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,45,Mario Manningham
2010,2011-01-02,16,17,24.222,NYG,WAS,True,7,4,101,25.25,1,57.1%,14.43,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,14,Mario Manningham
