Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-11-06,8,9,30.332,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,False,10,17,David Akers
2005,2005-11-14,9,10,30.340,PHI,DAL,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,,0,,,,,,,False,False,20,21,David Akers
2005,2005-11-20,10,11,30.346,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,False,17,27,David Akers
2005,2005-11-27,11,12,30.353,PHI,GNB,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,False,True,19,14,David Akers
2005,2005-12-11,13,14,31.002,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,4,75.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,False,23,26,David Akers
2005,2005-12-18,14,15,31.009,PHI,STL,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,True,17,16,David Akers
2005,2005-12-24,15,16,31.015,PHI,ARI,False,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,True,False,21,27,David Akers
2005,2006-01-01,16,17,31.023,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,False,20,31,David Akers
2006,2006-09-10,1,1,31.275,PHI,HOU,False,0,0,,0,0,0,,0,0,0,,0,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,True,24,10,David Akers
2006,2006-09-17,2,2,31.282,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,0,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,False,24,30,David Akers
