Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-12-24,15,16,24.141,BUF,DEN,True,16,111,6.94,1,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,40,14,C.J. Spiller
2011,2012-01-01,16,17,24.149,BUF,NWE,True,13,60,4.62,0,8,4,40,10.00,1,50.0%,5.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,21,49,C.J. Spiller
2012,2012-09-09,1,1,25.035,BUF,NYJ,False,14,169,12.07,1,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,42,70%,0,0%,0,0%,True,False,28,48,C.J. Spiller
2012,2012-09-16,2,2,25.042,BUF,KAN,True,15,123,8.20,2,3,3,47,15.67,0,100.0%,15.67,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,38,67%,0,0%,0,0%,False,True,35,17,C.J. Spiller
2012,2012-09-23,3,3,25.049,BUF,CLE,True,4,16,4.00,0,2,2,42,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,0,0%,True,True,24,14,C.J. Spiller
2012,2012-09-30,4,4,25.056,BUF,NWE,False,8,33,4.13,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,31,45%,0,0%,0,0%,False,False,28,52,C.J. Spiller
2012,2012-10-07,5,5,25.063,BUF,SFO,False,7,24,3.43,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,50%,0,0%,0,0%,True,False,3,45,C.J. Spiller
2012,2012-10-14,6,6,25.070,BUF,ARI,False,12,88,7.33,1,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,43%,0,0%,0,0%,True,True,19,16,C.J. Spiller
2012,2012-10-21,7,7,25.077,BUF,TEN,False,12,70,5.83,0,6,6,32,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,48%,0,0%,0,0%,False,False,34,35,C.J. Spiller
2012,2012-11-04,8,9,25.091,BUF,HOU,False,6,39,6.50,0,5,5,63,12.60,0,100.0%,12.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,46%,0,0%,0,0%,True,False,9,21,C.J. Spiller
2012,2012-11-11,9,10,25.098,BUF,NWE,False,9,70,7.78,0,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,47%,0,0%,0,0%,True,False,31,37,C.J. Spiller
2012,2012-11-15,10,11,25.102,BUF,MIA,True,22,91,4.14,0,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,75%,0,0%,0,0%,False,True,19,14,C.J. Spiller
2012,2012-11-25,11,12,25.112,BUF,IND,True,14,107,7.64,0,3,1,-4,-4.00,0,33.3%,-1.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,48%,0,0%,0,0%,True,False,13,20,C.J. Spiller
2012,2012-12-02,12,13,25.119,BUF,JAX,True,14,77,5.50,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,24,37%,0,0%,0,0%,False,True,34,18,C.J. Spiller
2012,2012-12-09,13,14,25.126,BUF,STL,True,7,37,5.29,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,53%,0,0%,0,0%,False,False,12,15,C.J. Spiller
2012,2012-12-16,14,15,25.133,BUF,SEA,True,17,103,6.06,1,5,3,-2,-0.67,0,60.0%,-0.40,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,82%,0,0%,0,0%,False,False,17,50,C.J. Spiller
2012,2012-12-23,15,16,25.140,BUF,MIA,True,22,138,6.27,0,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,94%,0,0%,0,0%,True,False,10,24,C.J. Spiller
