Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-10-24,6.0,7.0,27.082,ATL,MIA,W 30-28,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,43%,True,Younghoe Koo,True,30,28
2021.0,2021-10-31,7.0,8.0,27.089,ATL,CAR,L 13-19,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,31%,False,Younghoe Koo,False,13,19
2021.0,2021-11-07,8.0,9.0,27.096,ATL,NOR,W 27-25,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,37%,True,Younghoe Koo,True,27,25
2021.0,2021-11-14,9.0,10.0,27.103,ATL,DAL,L 3-43,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,12%,True,Younghoe Koo,False,3,43
2021.0,2021-11-18,10.0,11.0,27.107,ATL,NWE,L 0-25,False,,,,,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,13%,False,Younghoe Koo,False,0,25
2021.0,2021-11-28,11.0,12.0,27.117,ATL,JAX,W 21-14,False,3,3,100.0,,,,0,3,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,36%,True,Younghoe Koo,True,21,14
2021.0,2021-12-05,12.0,13.0,27.124,ATL,TAM,L 17-30,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,27%,False,Younghoe Koo,False,17,30
2021.0,2021-12-12,13.0,14.0,27.131,ATL,CAR,W 29-21,False,2,2,100.0,3,3,100.0,0,11,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,52%,True,Younghoe Koo,True,29,21
2021.0,2021-12-19,14.0,15.0,27.138,ATL,SFO,L 13-31,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,29%,True,Younghoe Koo,False,13,31
2021.0,2021-12-26,15.0,16.0,27.145,ATL,DET,W 20-16,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,39%,False,Younghoe Koo,True,20,16
2021.0,2022-01-02,16.0,17.0,27.152,ATL,BUF,L 15-29,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,32%,True,Younghoe Koo,False,15,29
2021.0,2022-01-09,17.0,18.0,27.159,ATL,NOR,L 20-30,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,33%,False,Younghoe Koo,False,20,30
,44 Games,,,,,,17-27-0,False,87,91,95.6,90,100,90.0,0,357,0.0,2,2,4,0,0,0,0,0,1,3,0,2,70,35.00,0,,,,,,,False,Younghoe Koo,False,27,0
