Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2004,2004-11-14,9,10,27.327,HOU,IND,False,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,14,49,Kris Brown
2004,2004-11-21,10,11,27.334,HOU,GNB,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,13,16,Kris Brown
2004,2004-11-28,11,12,27.341,HOU,TEN,False,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,31,21,Kris Brown
2004,2004-12-05,12,13,27.348,HOU,NYJ,False,0,0,,0,1,1,100.0,,,,0,1,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,,True,False,7,29,Kris Brown
2004,2004-12-12,13,14,27.355,HOU,IND,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,14,23,Kris Brown
2004,2004-12-19,14,15,27.362,HOU,CHI,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,24,5,Kris Brown
2004,2004-12-26,15,16,28.003,HOU,JAX,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,True,True,21,0,Kris Brown
2004,2005-01-02,16,17,28.010,HOU,CLE,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,14,22,Kris Brown
2005,2005-09-11,1,1,28.262,HOU,BUF,False,0,0,,0,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,7,22,Kris Brown
2005,2005-09-18,2,2,28.269,HOU,PIT,False,0,0,,0,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,7,27,Kris Brown
2005,2005-10-02,3,4,28.283,HOU,CIN,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,16,Kris Brown
2005,2005-10-09,4,5,28.290,HOU,TEN,False,0,0,,0,,,,4,4,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,20,34,Kris Brown
2005,2005-10-16,5,6,28.297,HOU,SEA,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,42,Kris Brown
2005,2005-10-23,6,7,28.304,HOU,IND,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,20,38,Kris Brown
2005,2005-10-30,7,8,28.311,HOU,CLE,False,0,0,,0,1,1,100.0,4,5,80.0,0,13,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,19,16,Kris Brown
2005,2005-11-06,8,9,28.318,HOU,JAX,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,14,21,Kris Brown
2005,2005-11-13,9,10,28.325,HOU,IND,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,31,Kris Brown
2005,2005-11-20,10,11,28.332,HOU,KAN,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,17,45,Kris Brown
2005,2005-11-27,11,12,28.339,HOU,STL,False,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,27,33,Kris Brown
2005,2005-12-04,12,13,28.346,HOU,BAL,False,0,0,,0,,,,5,5,100.0,0,15,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,15,16,Kris Brown
2005,2005-12-11,13,14,28.353,HOU,TEN,False,1,4,4.00,0,1,1,100.0,1,3,33.3,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,13,Kris Brown
2005,2005-12-18,14,15,28.360,HOU,ARI,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,False,True,30,19,Kris Brown
2005,2005-12-24,15,16,29.001,HOU,JAX,False,0,0,,0,2,2,100.0,2,4,50.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,20,38,Kris Brown
2005,2006-01-01,16,17,29.009,HOU,SFO,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,20,Kris Brown
2006,2006-09-10,1,1,29.261,HOU,PHI,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,10,24,Kris Brown
2006,2006-09-17,2,2,29.268,HOU,IND,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,24,43,Kris Brown
2006,2006-09-24,3,3,29.275,HOU,WAS,False,0,0,,0,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,15,31,Kris Brown
