Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-16,2,2,24.247,TAM,NYG,True,15,28,53.57,243,2,2,76.9,2,15,8.68,6.89,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,True,False,34,41,Josh Freeman
2012,2012-09-23,3,3,24.254,TAM,DAL,True,10,28,35.71,110,1,1,45.2,2,19,3.93,3.04,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,0,0,60,100%,0,0%,0,0%,True,False,10,16,Josh Freeman
2012,2012-09-30,4,4,24.261,TAM,WAS,True,24,39,61.54,299,1,1,83.2,1,6,7.67,7.03,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,False,22,24,Josh Freeman
2012,2012-10-14,5,6,24.275,TAM,KAN,True,15,26,57.69,328,3,1,124.7,1,10,12.62,13.19,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,53,100%,0,0%,0,0%,False,True,38,10,Josh Freeman
2012,2012-10-21,6,7,24.282,TAM,NOR,True,24,42,57.14,420,3,0,115.2,2,9,10.00,11.43,1,13,13.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,False,False,28,35,Josh Freeman
2012,2012-10-25,7,8,24.286,TAM,MIN,True,19,36,52.78,262,3,0,104.2,1,5,7.28,8.94,3,-1,-0.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,True,True,36,17,Josh Freeman
2012,2012-11-04,8,9,24.296,TAM,OAK,True,18,30,60.00,247,2,0,108.6,1,10,8.23,9.57,5,22,4.40,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,-8,0,65,100%,0,0%,0,0%,True,True,42,32,Josh Freeman
2012,2012-11-11,9,10,24.303,TAM,SDG,True,14,20,70.00,210,2,0,137.5,1,5,10.50,12.50,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,43,100%,0,0%,0,0%,False,True,34,24,Josh Freeman
2012,2012-11-18,10,11,24.310,TAM,CAR,True,25,46,54.35,248,3,2,73.5,1,12,5.39,4.74,5,27,5.40,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,True,True,27,21,Josh Freeman
2012,2012-11-25,11,12,24.317,TAM,ATL,True,19,30,63.33,256,0,0,90.4,2,8,8.53,8.53,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,False,False,23,24,Josh Freeman
2012,2012-12-02,12,13,24.324,TAM,DEN,True,18,39,46.15,242,2,1,72.8,1,7,6.21,6.08,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,67,100%,0,0%,0,0%,True,False,23,31,Josh Freeman
2012,2012-12-09,13,14,24.331,TAM,PHI,True,14,34,41.18,189,2,0,79.2,2,11,5.56,6.74,2,13,6.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-4,0,72,100%,0,0%,0,0%,False,False,21,23,Josh Freeman
2012,2012-12-16,14,15,24.338,TAM,NOR,True,26,47,55.32,279,0,4,37.5,2,11,5.94,2.11,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,62,84%,0,0%,0,0%,True,False,0,41,Josh Freeman
2012,2012-12-23,15,16,24.345,TAM,STL,True,30,54,55.56,372,1,4,52.4,5,23,6.89,3.93,4,18,4.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,81,100%,0,0%,0,0%,False,False,13,28,Josh Freeman
