Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2016,2016-12-24,15,16,28.095,NOR,TAM,False,3,2,30,15.00,0,66.7%,10.00,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,30,42%,0,0%,0,0%,False,True,31,24,Coby Fleener
2016,2017-01-01,16,17,28.103,NOR,ATL,True,7,3,38,12.67,0,42.9%,5.43,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,54,70%,0,0%,0,0%,True,False,32,38,Coby Fleener
2017,2017-09-11,1,1,28.356,NOR,MIN,False,6,5,54,10.80,1,83.3%,9.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,32,52%,0,0%,0,0%,True,False,19,29,Coby Fleener
2017,2017-09-17,2,2,28.362,NOR,NWE,False,4,3,33,11.00,1,75.0%,8.25,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,32,49%,0,0%,0,0%,False,False,20,36,Coby Fleener
2017,2017-09-24,3,3,29.004,NOR,CAR,False,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,14,24%,0,0%,0,0%,True,True,34,13,Coby Fleener
2017,2017-10-01,4,4,29.011,NOR,MIA,False,4,2,21,10.50,0,50.0%,5.25,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,44,59%,0,0%,4,21%,True,True,20,0,Coby Fleener
2017,2017-10-15,5,6,29.025,NOR,DET,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,18,25%,0,0%,0,0%,False,True,52,38,Coby Fleener
2017,2017-10-22,6,7,29.032,NOR,GNB,False,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,26%,0,0%,0,0%,True,True,26,17,Coby Fleener
2017,2017-10-29,7,8,29.039,NOR,CHI,False,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,16,26%,0,0%,0,0%,False,True,20,12,Coby Fleener
2017,2017-11-05,8,9,29.046,NOR,TAM,False,2,2,46,23.00,0,100.0%,23.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,37%,0,0%,0,0%,False,True,30,10,Coby Fleener
2017,2017-11-12,9,10,29.053,NOR,BUF,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,17,22%,0,0%,0,0%,True,True,47,10,Coby Fleener
2017,2017-11-19,10,11,29.060,NOR,WAS,False,5,5,91,18.20,0,100.0%,18.20,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,36,51%,0,0%,0,0%,False,True,34,31,Coby Fleener
2017,2017-11-26,11,12,29.067,NOR,LAR,False,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,18,32%,0,0%,0,0%,True,False,20,26,Coby Fleener
2017,2017-12-03,12,13,,NOR,CAR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,31,21,Coby Fleener
2017,2017-12-07,13,14,,NOR,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,17,20,Coby Fleener
2017,2017-12-17,14,15,,NOR,NYJ,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,31,19,Coby Fleener
2017,2017-12-24,15,16,,NOR,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,23,13,Coby Fleener
2017,2017-12-31,16,17,,NOR,TAM,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,24,31,Coby Fleener
,87 Games,,,,,,False,422,255,3080,12.08,22,60.4%,7.30,1,2,2.00,1,3,23,144,1,2,0,1,3,0,0,2,0,0,,,,,,,False,False,34,0,Coby Fleener
