Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-10-02,4,4,25.219,ARI,,LAR,L 13-17,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,29%,False,Chandler Catanzaro
2016,2016-10-06,5,5,25.223,ARI,@,SFO,W 33-21,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,32%,True,Chandler Catanzaro
2016,2016-10-17,6,6,25.234,ARI,,NYJ,W 28-3,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,38%,False,Chandler Catanzaro
2016,2016-10-23,7,7,25.240,ARI,,SEA,T 6-6,False,,,,2,4,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,23%,False,Chandler Catanzaro
2016,2016-10-30,8,8,25.247,ARI,@,CAR,L 20-30,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,21%,True,Chandler Catanzaro
2016,2016-11-13,9,10,25.261,ARI,,SFO,W 23-20,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,31%,False,Chandler Catanzaro
2016,2016-11-20,10,11,25.268,ARI,@,MIN,L 24-30,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,31%,True,Chandler Catanzaro
2016,2016-11-27,11,12,25.275,ARI,@,ATL,L 19-38,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,26%,True,Chandler Catanzaro
2016,2016-12-04,12,13,25.282,ARI,,WAS,W 31-23,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,43%,False,Chandler Catanzaro
2016,2016-12-11,13,14,25.289,ARI,@,MIA,L 23-26,False,,2,0.0,1,2,50.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,30%,True,Chandler Catanzaro
2016,2016-12-18,14,15,25.296,ARI,,NOR,L 41-48,False,5,6,83.3,,1,0.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,14,40%,False,Chandler Catanzaro
2016,2016-12-24,15,16,25.302,ARI,@,SEA,W 34-31,False,4,4,100.0,2,3,66.7,0,10,0.0,0,1,1,0,0,0,0,,0,0,0%,0,0%,13,39%,True,Chandler Catanzaro
