Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-30,4.0,4.0,25.098,TAM,CHI,L 10-48,True,7,6,36,6.00,0,85.7%,5.14,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,78%,0,0%,1,4%,True,Adam Humphries,False,10,48
2018.0,2018-10-14,5.0,6.0,25.112,TAM,ATL,L 29-34,True,4,3,82,27.33,0,75.0%,20.50,0,0,,0,0,0,,0,1,6,6.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,77%,0,0%,2,7%,True,Adam Humphries,False,29,34
2018.0,2018-10-21,6.0,7.0,25.119,TAM,CLE,W 26-23,False,9,4,37,9.25,0,44.4%,4.11,0,0,,0,0,0,,0,4,20,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,60%,0,0%,9,27%,False,Adam Humphries,True,26,23
2018.0,2018-10-28,7.0,8.0,25.126,TAM,CIN,L 34-37,False,10,7,76,10.86,0,70.0%,7.60,0,0,,0,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,70%,0,0%,6,18%,True,Adam Humphries,False,34,37
2018.0,2018-11-04,8.0,9.0,25.133,TAM,CAR,L 28-42,True,8,8,82,10.25,2,100.0%,10.25,1,7,7.00,0,0,0,,0,2,15,7.50,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,55,82%,0,0%,4,12%,True,Adam Humphries,False,28,42
2018.0,2018-11-11,9.0,10.0,25.14,TAM,WAS,L 3-16,True,3,2,53,26.50,0,66.7%,17.67,0,0,,0,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,78%,0,0%,4,20%,False,Adam Humphries,False,3,16
2018.0,2018-11-18,10.0,11.0,25.147,TAM,NYG,L 35-38,True,5,3,60,20.00,1,60.0%,12.00,0,0,,0,0,0,,0,1,10,10.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,69%,0,0%,3,10%,True,Adam Humphries,False,35,38
2018.0,2018-11-25,11.0,12.0,25.154,TAM,SFO,W 27-9,True,6,6,54,9.00,1,100.0%,9.00,0,0,,0,0,0,,0,1,6,6.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,52%,0,0%,7,25%,False,Adam Humphries,True,27,9
2018.0,2018-12-02,12.0,13.0,25.161,TAM,CAR,W 24-17,True,9,7,61,8.71,1,77.8%,6.78,0,0,,0,0,0,,0,1,0,0.00,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,41,63%,0,0%,2,8%,False,Adam Humphries,True,24,17
2018.0,2018-12-09,13.0,14.0,25.168,TAM,NOR,L 14-28,True,8,4,42,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,81%,0,0%,3,12%,False,Adam Humphries,False,14,28
2018.0,2018-12-16,14.0,15.0,25.175,TAM,BAL,L 12-20,False,6,4,23,5.75,0,66.7%,3.83,0,0,,0,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,58%,0,0%,3,13%,True,Adam Humphries,False,12,20
2018.0,2018-12-23,15.0,16.0,25.182,TAM,DAL,L 20-27,True,12,10,79,7.90,0,83.3%,6.58,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,79%,0,0%,4,15%,True,Adam Humphries,False,20,27
2018.0,2018-12-30,16.0,17.0,25.189,TAM,ATL,L 32-34,False,6,5,66,13.20,0,83.3%,11.00,0,0,,0,0,0,,0,2,9,4.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,50,82%,0,0%,5,16%,False,Adam Humphries,False,32,34
