Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-10-03,4,4,25.200,MIN,,NYG,W 24-10,False,1,2,2.00,0,6,5,38,7.60,0,83.3%,6.33,0,0,,0,0,0,,0,0,,,1,29,29.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,49%,0,0%,5,19%,False,Cordarrelle Patterson
2016,2016-10-09,5,5,25.206,MIN,,HOU,W 31-13,True,1,7,7.00,0,6,4,39,9.75,1,66.7%,6.50,0,0,,0,0,0,,0,0,,,1,17,17.00,0,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,45,61%,0,0%,2,7%,False,Cordarrelle Patterson
2016,2016-10-23,6,7,25.220,MIN,@,PHI,L 10-21,True,0,0,,0,7,7,67,9.57,1,100.0%,9.57,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,51,67%,0,0%,10,43%,True,Cordarrelle Patterson
2016,2016-10-31,7,8,25.228,MIN,@,CHI,L 10-20,False,0,0,,0,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,2,36,18.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,41,67%,0,0%,12,46%,True,Cordarrelle Patterson
2016,2016-11-06,8,9,25.234,MIN,,DET,L 16-22,True,0,0,,0,8,6,45,7.50,0,75.0%,5.63,0,0,,0,0,0,,0,0,,,3,87,29.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,57%,0,0%,8,31%,False,Cordarrelle Patterson
2016,2016-11-13,9,10,25.241,MIN,@,WAS,L 20-26,False,0,0,,0,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,0,0,,,2,44,22.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,66%,0,0%,11,42%,True,Cordarrelle Patterson
2016,2016-11-20,10,11,25.248,MIN,,ARI,W 30-24,True,0,0,,0,8,4,53,13.25,0,50.0%,6.63,0,0,,0,0,0,,0,0,,,1,104,104.00,1,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,60%,0,0%,8,28%,False,Cordarrelle Patterson
2016,2016-11-24,11,12,25.252,MIN,@,DET,L 13-16,True,1,22,22.00,0,5,5,15,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,34,59%,0,0%,8,35%,True,Cordarrelle Patterson
2016,2016-12-01,12,13,25.259,MIN,,DAL,L 15-17,False,2,6,3.00,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,,,3,80,26.67,0,1,0,0.00,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,47,64%,0,0%,15,54%,False,Cordarrelle Patterson
2016,2016-12-11,13,14,25.269,MIN,@,JAX,W 25-16,True,0,0,,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,,,1,53,53.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,32,48%,0,0%,7,22%,True,Cordarrelle Patterson
