Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-11-22,10.0,11.0,23.214,BUF,JAX,L 15-18,True,8,18,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,1,0,1,,,2,1,0,1,0,0,,,,,,,True,Marshawn Lynch,False,15,18
2009.0,2009-11-29,11.0,12.0,23.221,BUF,MIA,W 31-14,False,3,6,2.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,31,14
2009.0,2009-12-03,12.0,13.0,23.225,BUF,NYJ,L 13-19,False,6,60,10.00,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,1,0,0,,,,,,,False,Marshawn Lynch,False,13,19
2009.0,2009-12-13,13.0,14.0,23.235,BUF,KAN,W 16-10,False,12,84,7.00,0,3,3,10,3.33,0,100.0%,3.33,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,16,10
2009.0,2009-12-20,14.0,15.0,23.242,BUF,NWE,L 10-17,False,8,25,3.13,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,10,17
2009.0,2009-12-27,15.0,16.0,23.249,BUF,ATL,L 3-31,False,3,3,1.00,0,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,3,31
2009.0,2010-01-03,16.0,17.0,23.256,BUF,IND,W 30-7,False,1,0,0.00,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,30,7
2010.0,2010-09-12,1.0,1.0,24.143,BUF,MIA,L 10-15,False,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,10,15
2010.0,2010-09-19,2.0,2.0,24.15,BUF,GNB,L 7-34,True,17,64,3.76,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,7,34
2010.0,2010-09-26,3.0,3.0,24.157,BUF,NWE,L 30-38,True,13,79,6.08,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,30,38
2010.0,2010-10-03,4.0,4.0,24.164,BUF,NYJ,L 14-38,True,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,Marshawn Lynch,False,14,38
