Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-11-29,11,12,24.251,JAX,SFO,True,15,75,5.00,0,5,5,35,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,20,Maurice Jones-Drew
2009,2009-12-06,12,13,24.258,JAX,HOU,True,24,76,3.17,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,23,18,Maurice Jones-Drew
2009,2009-12-13,13,14,24.265,JAX,MIA,True,18,59,3.28,1,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,2,19,9.50,0,1,6,0,,0,0,0,0,,,,,,,False,False,10,14,Maurice Jones-Drew
2009,2009-12-17,14,15,24.269,JAX,IND,True,27,110,4.07,1,5,5,30,6.00,1,100.0%,6.00,0,0,,0,0,0,,,,,,2,59,29.50,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,False,31,35,Maurice Jones-Drew
2009,2009-12-27,15,16,24.279,JAX,NWE,True,18,63,3.50,0,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0,,,,,,2,43,21.50,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,7,35,Maurice Jones-Drew
2009,2010-01-03,16,17,24.286,JAX,CLE,True,16,82,5.13,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,,,,,,,True,False,17,23,Maurice Jones-Drew
2010,2010-09-12,1,1,25.173,JAX,DEN,True,23,98,4.26,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,17,Maurice Jones-Drew
2010,2010-09-19,2,2,25.180,JAX,SDG,True,12,31,2.58,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,True,False,13,38,Maurice Jones-Drew
2010,2010-09-26,3,3,25.187,JAX,PHI,True,22,88,4.00,0,3,2,1,0.50,0,66.7%,0.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,False,False,3,28,Maurice Jones-Drew
2010,2010-10-03,4,4,25.194,JAX,IND,True,26,105,4.04,1,2,2,16,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,True,31,28,Maurice Jones-Drew
