Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-15,5.0,6.0,27.104,WAS,SFO,W 26-24,True,5,4,37,9.25,0,80.0%,7.40,0,0,,0,0,0,0,0,0,0,0,0,54,73%,0,0%,0,0%,False,Jordan Reed,True,26,24
2017.0,2017-10-23,6.0,7.0,27.112,WAS,PHI,L 24-34,True,10,8,64,8.00,2,80.0%,6.40,0,0,,0,2,12,0,0,0,0,0,0,50,78%,0,0%,0,0%,True,Jordan Reed,False,24,34
2017.0,2017-10-29,7.0,8.0,27.118,WAS,DAL,L 19-33,True,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0,0,0,0,0,0,21,36%,0,0%,0,0%,False,Jordan Reed,False,19,33
2017.0,2017-11-05,8.0,9.0,,WAS,SEA,W 17-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,True,17,14
2017.0,2017-11-12,9.0,10.0,,WAS,MIN,L 30-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jordan Reed,False,30,38
2017.0,2017-11-19,10.0,11.0,,WAS,NOR,L 31-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,False,31,34
2017.0,2017-11-23,11.0,12.0,,WAS,NYG,W 20-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jordan Reed,True,20,10
2017.0,2017-11-30,12.0,13.0,,WAS,DAL,L 14-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,False,14,38
2017.0,2017-12-10,13.0,14.0,,WAS,LAC,L 13-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,False,13,30
2017.0,2017-12-17,14.0,15.0,,WAS,ARI,W 20-15,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Jordan Reed,True,20,15
2017.0,2017-12-24,15.0,16.0,,WAS,DEN,W 27-11,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Jordan Reed,True,27,11
2017.0,2017-12-31,16.0,17.0,,WAS,NYG,L 10-18,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Jordan Reed,False,10,18
2018.0,2018-09-09,1.0,1.0,28.068,WAS,ARI,W 24-6,True,5,4,48,12.00,1,80.0%,9.60,0,0,,0,1,6,0,0,0,0,0,0,41,52%,0,0%,0,0%,True,Jordan Reed,True,24,6
2018.0,2018-09-16,2.0,2.0,28.075,WAS,IND,L 9-21,False,8,6,55,9.17,0,75.0%,6.88,0,0,,0,0,0,1,1,0,0,0,0,40,54%,0,0%,0,0%,False,Jordan Reed,False,9,21
2018.0,2018-09-23,3.0,3.0,28.082,WAS,GNB,W 31-17,True,7,4,65,16.25,0,57.1%,9.29,0,0,,0,0,0,0,0,0,0,0,0,40,66%,0,0%,0,0%,False,Jordan Reed,True,31,17
2018.0,2018-10-08,4.0,5.0,28.097,WAS,NOR,L 19-43,False,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,0,0,0,0,0,0,39,64%,0,0%,0,0%,True,Jordan Reed,False,19,43
2018.0,2018-10-14,5.0,6.0,28.103,WAS,CAR,W 23-17,True,9,5,36,7.20,0,55.6%,4.00,0,0,,0,0,0,0,0,0,0,0,0,47,67%,0,0%,0,0%,False,Jordan Reed,True,23,17
2018.0,2018-10-21,6.0,7.0,28.11,WAS,DAL,W 20-17,True,4,2,43,21.50,0,50.0%,10.75,0,0,,0,0,0,0,0,0,0,0,0,41,68%,0,0%,0,0%,False,Jordan Reed,True,20,17
2018.0,2018-10-28,7.0,8.0,28.117,WAS,NYG,W 20-13,True,12,7,38,5.43,0,58.3%,3.17,0,0,,0,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,True,Jordan Reed,True,20,13
2018.0,2018-11-04,8.0,9.0,28.124,WAS,ATL,L 14-38,False,6,4,34,8.50,0,66.7%,5.67,0,0,,0,0,0,0,0,0,0,0,0,38,55%,0,0%,0,0%,False,Jordan Reed,False,14,38
