Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-12-15,14.0,15.0,24.218,CAR,NYJ,W 30-20,True,16,24,66.67,273,1,0,118.9,2,12,11.38,12.21,7,12,1.71,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,False,Cam Newton,True,30,20
2013.0,2013-12-22,15.0,16.0,24.225,CAR,NOR,W 17-13,True,13,22,59.09,181,1,1,81.8,4,40,8.23,7.09,4,6,1.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,44,100%,0,0%,0,0%,False,Cam Newton,True,17,13
2013.0,2013-12-29,16.0,17.0,24.232,CAR,ATL,W 21-20,True,15,27,55.56,149,2,1,80.6,1,0,5.52,5.33,12,72,6.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,Cam Newton,True,21,20
2014.0,2014-09-07,1.0,1.0,,CAR,TAM,W 20-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Cam Newton,True,20,14
2014.0,2014-09-14,2.0,2.0,25.126,CAR,DET,W 24-7,True,22,34,64.71,281,1,0,100.2,4,30,8.26,8.85,4,19,4.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Cam Newton,True,24,7
2014.0,2014-09-21,3.0,3.0,25.133,CAR,PIT,L 19-37,True,24,35,68.57,250,1,0,98.5,3,23,7.14,7.71,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,55,89%,0,0%,0,0%,False,Cam Newton,False,19,37
2014.0,2014-09-28,4.0,4.0,25.14,CAR,BAL,L 10-38,True,14,25,56.00,197,1,0,94.9,2,20,7.88,8.68,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-8,0,55,83%,0,0%,0,0%,True,Cam Newton,False,10,38
2014.0,2014-10-05,5.0,5.0,25.147,CAR,CHI,W 31-24,True,19,35,54.29,255,2,1,84.8,2,24,7.29,7.14,6,9,1.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,False,Cam Newton,True,31,24
2014.0,2014-10-12,6.0,6.0,25.154,CAR,CIN,T 37-37,True,29,46,63.04,284,2,1,85.8,0,0,6.17,6.07,17,107,6.29,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,84,100%,0,0%,0,0%,True,Cam Newton,False,37,37
2014.0,2014-10-19,7.0,7.0,25.161,CAR,GNB,L 17-38,True,17,31,54.84,205,1,1,72.6,3,25,6.61,5.81,7,41,5.86,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,83%,0,0%,0,0%,True,Cam Newton,False,17,38
