Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-12-08,13,14,27.071,SEA,@,LAR,L 12-28,True,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,89%,0,0%,0,0%,True,Tyler Lockett
2019,2019-12-15,14,15,27.078,SEA,@,CAR,W 30-24,True,9,8,120,15.00,1,88.9%,13.33,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,79%,0,0%,2,7%,True,Tyler Lockett
2019,2019-12-22,15,16,27.085,SEA,,ARI,L 13-27,True,7,1,12,12.00,0,14.3%,1.71,0,0,,0,1,18,18.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,84%,0,0%,3,9%,False,Tyler Lockett
2019,2019-12-29,16,17,27.092,SEA,,SFO,L 21-26,True,7,6,51,8.50,1,85.7%,7.29,0,0,,0,1,17,17.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,70,93%,0,0%,6,26%,False,Tyler Lockett
2020,2020-09-13,1,1,27.351,SEA,@,ATL,W 38-25,True,8,8,92,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,94%,0,0%,0,0%,True,Tyler Lockett
2020,2020-09-20,2,2,27.358,SEA,,NWE,W 35-30,True,8,7,67,9.57,1,87.5%,8.38,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,95%,0,0%,0,0%,False,Tyler Lockett
2020,2020-09-27,3,3,27.365,SEA,,DAL,W 38-31,True,13,9,100,11.11,3,69.2%,7.69,0,0,,0,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,74,97%,0,0%,0,0%,False,Tyler Lockett
2020,2020-10-04,4,4,28.006,SEA,@,MIA,W 31-23,True,4,2,39,19.50,0,50.0%,9.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,89%,0,0%,0,0%,True,Tyler Lockett
2020,2020-10-11,5,5,28.013,SEA,,MIN,W 27-26,True,5,4,44,11.00,0,80.0%,8.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,False,Tyler Lockett
2020,2020-10-25,6,7,28.027,SEA,@,ARI,L 34-37,True,20,15,200,13.33,3,75.0%,10.00,0,0,,0,1,9,9.00,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,78,93%,0,0%,2,6%,True,Tyler Lockett
2020,2020-11-01,7,8,28.034,SEA,,SFO,W 37-27,True,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,False,Tyler Lockett
2020,2020-11-08,8,9,28.041,SEA,@,BUF,L 34-44,True,7,4,40,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,95%,0,0%,0,0%,True,Tyler Lockett
2020,2020-11-15,9,10,28.048,SEA,@,LAR,L 16-23,True,9,5,66,13.20,0,55.6%,7.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,87%,0,0%,0,0%,True,Tyler Lockett
