Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2011,2011-09-12,1,1,33.246,NWE,MIA,False,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,True,38,24,Chad Johnson
2011,2011-09-18,2,2,33.252,NWE,SDG,False,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,35,21,Chad Johnson
2011,2011-09-25,3,3,33.259,NWE,BUF,True,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,False,31,34,Chad Johnson
2011,2011-10-02,4,4,33.266,NWE,OAK,False,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,True,31,19,Chad Johnson
2011,2011-10-09,5,5,33.273,NWE,NYJ,True,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,30,21,Chad Johnson
2011,2011-10-16,6,6,33.280,NWE,DAL,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,20,16,Chad Johnson
2011,2011-10-30,7,8,33.294,NWE,PIT,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,False,17,25,Chad Johnson
2011,2011-11-06,8,9,33.301,NWE,NYG,False,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,False,20,24,Chad Johnson
2011,2011-11-13,9,10,33.308,NWE,NYJ,False,2,2,65,32.50,0,100.0%,32.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,True,37,16,Chad Johnson
2011,2011-11-21,10,11,33.316,NWE,KAN,False,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,False,True,34,3,Chad Johnson
2011,2011-11-27,11,12,,NWE,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,38,20,Chad Johnson
2011,2011-12-04,12,13,33.329,NWE,IND,False,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,31,24,Chad Johnson
2011,2011-12-11,13,14,33.336,NWE,WAS,False,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,True,34,27,Chad Johnson
2011,2011-12-18,14,15,33.343,NWE,DEN,True,3,1,33,33.00,1,33.3%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,True,True,41,23,Chad Johnson
2011,2011-12-24,15,16,33.349,NWE,MIA,False,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,27,24,Chad Johnson
2011,2012-01-01,16,17,33.357,NWE,BUF,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,49,21,Chad Johnson
,166 Games,,,,,,False,1372,766,11059,14.44,67,55.8%,8.06,24,175,7.29,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,67,402,7,4,0,3,6,0,False,False,89,1,Chad Johnson
