Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-12-28,15,16,24.282,MIN,@,CHI,L 30-36,True,24,94,3.92,2,6,3,43,14.33,0,50.0%,7.17,0,0,,0,,2,12,1,1,0,0,0,0,,,,,,,True,Adrian Peterson
2009,2010-01-03,16,17,24.288,MIN,,NYG,W 44-7,True,9,54,6.00,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2010,2010-09-09,1,1,25.172,MIN,@,NOR,L 9-14,True,19,87,4.58,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2010,2010-09-19,2,2,25.182,MIN,,MIA,L 10-14,True,28,145,5.18,1,8,5,41,8.20,0,62.5%,5.13,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2010,2010-09-26,3,3,25.189,MIN,,DET,W 24-10,True,23,160,6.96,2,7,5,30,6.00,0,71.4%,4.29,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2010,2010-10-11,4,5,25.204,MIN,@,NYJ,L 20-29,True,18,88,4.89,0,3,1,20,20.00,0,33.3%,6.67,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2010,2010-10-17,5,6,25.210,MIN,,DAL,W 24-21,True,24,73,3.04,1,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2010,2010-10-24,6,7,25.217,MIN,@,GNB,L 24-28,True,28,131,4.68,1,2,2,41,20.50,0,100.0%,20.50,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2010,2010-10-31,7,8,25.224,MIN,@,NWE,L 18-28,True,25,92,3.68,1,6,5,50,10.00,0,83.3%,8.33,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2010,2010-11-07,8,9,25.231,MIN,,ARI,W 27-24,True,15,81,5.40,1,4,4,63,15.75,1,100.0%,15.75,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2010,2010-11-14,9,10,25.238,MIN,@,CHI,L 13-27,True,17,51,3.00,0,7,4,24,6.00,0,57.1%,3.43,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2010,2010-11-21,10,11,25.245,MIN,,GNB,L 3-31,True,14,72,5.14,0,4,1,16,16.00,0,25.0%,4.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2010,2010-11-28,11,12,25.252,MIN,@,WAS,W 17-13,True,6,36,6.00,1,1,1,34,34.00,0,100.0%,34.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2010,2010-12-05,12,13,25.259,MIN,,BUF,W 38-14,True,16,107,6.69,3,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,3,18,0,,0,0,0,0,,,,,,,False,Adrian Peterson
