Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-20,2,2,23.307,ARI,,WAS,W 30-15,True,4,2,57,28.50,0,50.0%,14.25,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,,0,0,0,0,0,0,0,0,47,61%,0,0%,1,4%,False,Christian Kirk
2020,2020-09-27,3,3,,ARI,,DET,L 23-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Christian Kirk
2020,2020-10-04,4,4,23.321,ARI,@,CAR,L 21-31,True,5,3,19,6.33,1,60.0%,3.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,36,63%,0,0%,0,0%,True,Christian Kirk
2020,2020-10-11,5,5,23.328,ARI,@,NYJ,W 30-10,True,7,5,78,15.60,0,71.4%,11.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,8,2.67,0,,0,0,1,0,0,0,0,0,44,58%,0,0%,6,24%,True,Christian Kirk
2020,2020-10-19,6,6,23.336,ARI,@,DAL,W 38-10,True,3,2,86,43.00,2,66.7%,28.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,,2,12,0,0,0,0,0,0,50,81%,0,0%,4,15%,True,Christian Kirk
2020,2020-10-25,7,7,23.342,ARI,,SEA,W 37-34,True,8,5,37,7.40,2,62.5%,4.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,2,12,0,0,0,0,0,0,66,79%,0,0%,3,9%,False,Christian Kirk
2020,2020-11-08,8,9,23.356,ARI,,MIA,L 31-34,False,8,5,123,24.60,1,62.5%,15.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-4,-4.00,0,,1,6,0,0,0,0,0,0,44,64%,0,0%,3,11%,False,Christian Kirk
2020,2020-11-15,9,10,23.363,ARI,,BUF,W 32-30,True,6,4,27,6.75,0,66.7%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,15,7.50,0,,0,0,0,0,0,0,0,0,54,74%,0,0%,5,15%,False,Christian Kirk
2020,2020-11-19,10,11,24.001,ARI,@,SEA,L 21-28,True,6,4,50,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,,0,0,0,0,0,0,0,0,61,91%,0,0%,4,15%,True,Christian Kirk
2020,2020-11-29,11,12,24.011,ARI,@,NWE,L 17-20,False,6,3,19,6.33,0,50.0%,3.17,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,,0,0,0,0,0,0,0,0,64,86%,0,0%,3,14%,True,Christian Kirk
