Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-11-02,9,9,26.006,NYJ,@,KAN,L 10-24,False,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,22,32%,0,0%,13,65%,True,Bilal Powell
2014,2014-11-09,10,10,26.013,NYJ,,PIT,W 20-13,False,1,4,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,11,19%,0,0%,17,65%,False,Bilal Powell
2014,2014-11-24,11,12,,NYJ,@,BUF,L 3-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Bilal Powell
2014,2014-12-01,12,13,26.035,NYJ,,MIA,L 13-16,False,2,4,2.00,0,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,,,1,9,9.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,25%,0,0%,16,62%,False,Bilal Powell
2014,2014-12-07,13,14,26.041,NYJ,@,MIN,L 24-30,False,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,20,26%,0,0%,19,58%,True,Bilal Powell
2014,2014-12-14,14,15,26.048,NYJ,@,TEN,W 16-11,False,1,8,8.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,14,22%,0,0%,21,72%,True,Bilal Powell
2014,2014-12-21,15,16,26.055,NYJ,,NWE,L 16-17,False,5,21,4.20,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,29%,0,0%,18,69%,False,Bilal Powell
2014,2014-12-28,16,17,26.062,NYJ,@,MIA,W 37-24,True,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,19%,0,0%,12,34%,True,Bilal Powell
2015,2015-09-13,1,1,26.321,NYJ,,CLE,W 31-10,False,12,62,5.17,0,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,47%,0,0%,6,26%,False,Bilal Powell
2015,2015-09-21,2,2,26.329,NYJ,@,IND,W 20-7,False,12,38,3.17,0,5,4,16,4.00,0,80.0%,3.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,37,54%,0,0%,7,32%,True,Bilal Powell
2015,2015-09-27,3,3,26.335,NYJ,,PHI,L 17-24,True,10,31,3.10,0,8,7,44,6.29,0,87.5%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,84%,0,0%,10,30%,False,Bilal Powell
