Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-12-12,13.0,14.0,,SFO,SEA,W 40-21,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Frank Gore,True,40,21
2010.0,2010-12-16,14.0,15.0,,SFO,SDG,L 7-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Frank Gore,False,7,34
2010.0,2010-12-26,15.0,16.0,,SFO,STL,L 17-25,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Frank Gore,False,17,25
2010.0,2011-01-02,16.0,17.0,,SFO,ARI,W 38-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Frank Gore,True,38,7
2011.0,2011-09-11,1.0,1.0,28.12,SFO,SEA,W 33-17,True,22,59,2.68,0,4,3,19,6.33,0,75.0%,4.75,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,33,17
2011.0,2011-09-18,2.0,2.0,28.127,SFO,DAL,L 24-27,True,20,47,2.35,1,3,3,17,5.67,0,100.0%,5.67,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,False,24,27
2011.0,2011-09-25,3.0,3.0,28.134,SFO,CIN,W 13-8,True,17,42,2.47,0,2,0,0,,0,0.0%,0.00,,0,0,1,1,0,0,0,0,,,,,,,True,Frank Gore,True,13,8
2011.0,2011-10-02,4.0,4.0,28.141,SFO,PHI,W 24-23,False,15,127,8.47,1,2,2,12,6.00,0,100.0%,6.00,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,True,24,23
2011.0,2011-10-09,5.0,5.0,28.148,SFO,TAM,W 48-3,True,20,125,6.25,1,2,2,18,9.00,0,100.0%,9.00,,1,6,1,1,0,0,0,0,,,,,,,False,Frank Gore,True,48,3
2011.0,2011-10-16,6.0,6.0,28.155,SFO,DET,W 25-19,True,15,141,9.40,1,5,2,5,2.50,0,40.0%,1.00,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,True,25,19
2011.0,2011-10-30,7.0,8.0,28.169,SFO,CLE,W 20-10,True,31,134,4.32,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,20,10
2011.0,2011-11-06,8.0,9.0,28.176,SFO,WAS,W 19-11,True,19,107,5.63,0,3,1,7,7.00,0,33.3%,2.33,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,True,19,11
2011.0,2011-11-13,9.0,10.0,28.183,SFO,NYG,W 27-20,True,6,0,0.00,0,1,1,8,8.00,0,100.0%,8.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,27,20
2011.0,2011-11-20,10.0,11.0,28.19,SFO,ARI,W 23-7,True,24,88,3.67,0,2,1,6,6.00,0,50.0%,3.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,23,7
