Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-24,11.0,12.0,,NYG,CHI,L 14-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Evan Engram,False,14,19
2019.0,2019-12-01,12.0,13.0,,NYG,GNB,L 13-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Evan Engram,False,13,31
2019.0,2019-12-09,13.0,14.0,,NYG,PHI,L 17-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Evan Engram,False,17,23
2019.0,2019-12-15,14.0,15.0,,NYG,MIA,W 36-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Evan Engram,True,36,20
2019.0,2019-12-22,15.0,16.0,,NYG,WAS,W 41-35,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Evan Engram,True,41,35
2019.0,2019-12-29,16.0,17.0,,NYG,PHI,L 17-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Evan Engram,False,17,34
2020.0,2020-09-14,1.0,1.0,26.012,NYG,PIT,L 16-26,True,7,2,9,4.50,0,28.6%,1.29,0,0,,0,,0,0,0,0,0,0,0,0,64,94%,0,0%,2,8%,False,Evan Engram,False,16,26
2020.0,2020-09-20,2.0,2.0,26.018,NYG,CHI,L 13-17,True,8,6,65,10.83,0,75.0%,8.13,0,0,,0,,0,0,0,0,0,0,0,0,63,97%,0,0%,4,18%,True,Evan Engram,False,13,17
2020.0,2020-09-27,3.0,3.0,26.025,NYG,SFO,L 9-36,False,5,3,22,7.33,0,60.0%,4.40,0,0,,0,,0,0,0,0,0,0,0,0,44,85%,0,0%,3,13%,False,Evan Engram,False,9,36
2020.0,2020-10-04,4.0,4.0,26.032,NYG,LAR,L 9-17,True,10,6,35,5.83,0,60.0%,3.50,0,0,,0,,0,0,0,0,0,0,0,0,57,84%,0,0%,3,13%,True,Evan Engram,False,9,17
2020.0,2020-10-11,5.0,5.0,26.039,NYG,DAL,L 34-37,True,2,1,16,16.00,0,50.0%,8.00,2,9,4.50,1,,1,6,0,0,0,0,0,0,55,81%,0,0%,7,21%,True,Evan Engram,False,34,37
2020.0,2020-10-18,6.0,6.0,26.046,NYG,WAS,W 20-19,True,3,2,30,15.00,0,66.7%,10.00,0,0,,0,,0,0,0,0,0,0,0,0,39,81%,0,0%,5,23%,False,Evan Engram,True,20,19
2020.0,2020-10-22,7.0,7.0,26.05,NYG,PHI,L 21-22,True,9,6,46,7.67,0,66.7%,5.11,2,3,1.50,0,,0,0,0,0,0,0,0,0,50,83%,0,0%,4,15%,True,Evan Engram,False,21,22
2020.0,2020-11-02,8.0,8.0,26.061,NYG,TAM,L 23-25,True,10,5,61,12.20,0,50.0%,6.10,1,9,9.00,0,,0,0,0,0,0,0,0,0,61,82%,0,0%,4,15%,False,Evan Engram,False,23,25
2020.0,2020-11-08,9.0,9.0,26.067,NYG,WAS,W 23-20,False,10,5,48,9.60,1,50.0%,4.80,0,0,,0,,1,6,0,0,0,0,0,0,58,75%,0,0%,0,0%,True,Evan Engram,True,23,20
2020.0,2020-11-15,10.0,10.0,26.074,NYG,PHI,W 27-17,True,3,2,15,7.50,0,66.7%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,49,69%,0,0%,0,0%,False,Evan Engram,True,27,17
2020.0,2020-11-29,11.0,12.0,26.088,NYG,CIN,W 19-17,True,9,6,129,21.50,0,66.7%,14.33,0,0,,0,,0,0,1,1,0,0,0,0,78,96%,0,0%,1,3%,True,Evan Engram,True,19,17
2020.0,2020-12-06,12.0,13.0,26.095,NYG,SEA,W 17-12,True,8,4,32,8.00,0,50.0%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,40,71%,0,0%,0,0%,True,Evan Engram,True,17,12
