Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2009,2009-12-20,14,15,30.180,SDG,CIN,True,16,59,3.69,0,4,4,58,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,27,24,LaDainian Tomlinson
2009,2009-12-25,15,16,30.185,SDG,TEN,True,16,59,3.69,2,2,2,4,2.00,0,100.0%,2.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12,0,,0,0,0,0,True,True,42,17,LaDainian Tomlinson
2009,2010-01-03,16,17,30.194,SDG,WAS,True,2,1,0.50,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,23,20,LaDainian Tomlinson
2010,2010-09-13,1,1,31.082,NYJ,BAL,False,11,62,5.64,0,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,9,10,LaDainian Tomlinson
2010,2010-09-19,2,2,31.088,NYJ,NWE,False,11,76,6.91,0,6,4,26,6.50,0,66.7%,4.33,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,28,14,LaDainian Tomlinson
2010,2010-09-26,3,3,31.095,NYJ,MIA,True,15,70,4.67,1,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,True,31,23,LaDainian Tomlinson
2010,2010-10-03,4,4,31.102,NYJ,BUF,True,19,133,7.00,2,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,,,,,2,12,0,,0,0,0,0,True,True,38,14,LaDainian Tomlinson
2010,2010-10-11,5,5,31.110,NYJ,MIN,True,20,94,4.70,0,7,5,13,2.60,0,71.4%,1.86,0,0,,0,0,0,,,,,,0,0,1,0,0,0,0,0,False,True,29,20,LaDainian Tomlinson
2010,2010-10-17,6,6,31.116,NYJ,DEN,True,16,55,3.44,2,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,2,12,0,,0,0,0,0,True,True,24,20,LaDainian Tomlinson
2010,2010-10-31,7,8,31.130,NYJ,GNB,True,16,54,3.38,0,7,5,37,7.40,0,71.4%,5.29,0,0,,0,0,0,,,,,,0,0,2,0,0,1,0,0,False,False,0,9,LaDainian Tomlinson
2010,2010-11-07,8,9,31.137,NYJ,DET,True,15,55,3.67,0,9,6,47,7.83,0,66.7%,5.22,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,True,23,20,LaDainian Tomlinson
2010,2010-11-14,9,10,31.144,NYJ,CLE,True,18,57,3.17,0,10,6,53,8.83,0,60.0%,5.30,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,True,26,20,LaDainian Tomlinson
2010,2010-11-21,10,11,31.151,NYJ,HOU,True,12,36,3.00,0,9,7,71,10.14,0,77.8%,7.89,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,30,27,LaDainian Tomlinson
