Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-23,3,3,,PHI,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,6,27,Riley Cooper
2012,2012-09-30,4,4,,PHI,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,19,17,Riley Cooper
2012,2012-10-07,5,5,,PHI,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,16,Riley Cooper
2012,2012-10-14,6,6,25.035,PHI,DET,False,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,12%,0,0%,20,56%,False,False,23,26,Riley Cooper
2012,2012-10-28,7,8,25.049,PHI,ATL,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,29%,0,0%,16,64%,False,False,17,30,Riley Cooper
2012,2012-11-05,8,9,25.057,PHI,NOR,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,16,67%,True,False,13,28,Riley Cooper
2012,2012-11-11,9,10,25.063,PHI,DAL,False,3,2,24,12.00,1,66.7%,8.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,56%,0,0%,18,50%,False,False,23,38,Riley Cooper
2012,2012-11-18,10,11,25.070,PHI,WAS,False,8,5,61,12.20,0,62.5%,7.63,0,0,,0,1,14,14.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,71%,0,0%,5,19%,True,False,6,31,Riley Cooper
2012,2012-11-26,11,12,25.078,PHI,CAR,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,72%,0,0%,6,21%,False,False,22,30,Riley Cooper
2012,2012-12-02,12,13,25.084,PHI,DAL,True,5,2,31,15.50,1,40.0%,6.20,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,62,98%,0,0%,8,28%,True,False,33,38,Riley Cooper
2012,2012-12-09,13,14,25.091,PHI,TAM,True,9,4,37,9.25,0,44.4%,4.11,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,93%,0,0%,0,0%,True,True,23,21,Riley Cooper
2012,2012-12-13,14,15,25.095,PHI,CIN,True,7,3,20,6.67,1,42.9%,2.86,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,98%,0,0%,0,0%,False,False,13,34,Riley Cooper
2012,2012-12-23,15,16,25.105,PHI,WAS,True,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,73,96%,0,0%,6,25%,False,False,20,27,Riley Cooper
2012,2012-12-30,16,17,25.112,PHI,NYG,True,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,89%,0,0%,7,30%,True,False,7,42,Riley Cooper
