Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-10-10,5,5,,ARI,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,20,Early Doucet
2010,2010-10-24,6,7,24.361,ARI,SEA,True,8,2,33,16.50,0,25.0%,4.13,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,22,Early Doucet
2010,2010-10-31,7,8,25.003,ARI,TAM,False,5,4,39,9.75,0,80.0%,7.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,35,38,Early Doucet
2010,2010-11-07,8,9,25.010,ARI,MIN,True,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,27,Early Doucet
2010,2010-11-14,9,10,25.017,ARI,SEA,False,10,6,71,11.83,1,60.0%,7.10,1,2,2.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,18,36,Early Doucet
2010,2010-11-21,10,11,25.024,ARI,KAN,False,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,13,31,Early Doucet
2010,2010-11-29,11,12,25.032,ARI,SFO,True,10,5,60,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,6,27,Early Doucet
2010,2010-12-05,12,13,25.038,ARI,STL,False,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,6,19,Early Doucet
2010,2010-12-12,13,14,25.045,ARI,DEN,True,8,2,24,12.00,0,25.0%,3.00,1,3,3.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,43,13,Early Doucet
2010,2010-12-19,14,15,25.052,ARI,CAR,True,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,12,19,Early Doucet
2010,2010-12-25,15,16,,ARI,DAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,27,26,Early Doucet
