Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-11-03,9.0,9.0,27.045,KAN,BUF,W 23-13,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,41%,True,Ryan Succop,True,23,13
2013.0,2013-11-17,10.0,11.0,27.059,KAN,DEN,L 17-27,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,21%,True,Ryan Succop,False,17,27
2013.0,2013-11-24,11.0,12.0,27.066,KAN,SDG,L 38-41,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,35%,False,Ryan Succop,False,38,41
2013.0,2013-12-01,12.0,13.0,27.073,KAN,DEN,L 28-35,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,False,Ryan Succop,False,28,35
2013.0,2013-12-08,13.0,14.0,27.08,KAN,WAS,W 45-10,False,6,6,100.0,1,2,50.0,0,9,0.0,0,0,0,,,1,29,29.00,0,0,0%,0,0%,17,55%,True,Ryan Succop,True,45,10
2013.0,2013-12-15,14.0,15.0,27.087,KAN,OAK,W 56-31,False,8,8,100.0,,,,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,17,50%,True,Ryan Succop,True,56,31
2013.0,2013-12-22,15.0,16.0,27.094,KAN,IND,L 7-23,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,16%,False,Ryan Succop,False,7,23
2013.0,2013-12-29,16.0,17.0,27.101,KAN,SDG,L 24-27,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,33%,True,Ryan Succop,False,24,27
2014.0,2014-09-07,1.0,1.0,27.353,TEN,KAN,W 26-10,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,39%,True,Ryan Succop,True,26,10
2014.0,2014-09-14,2.0,2.0,27.36,TEN,DAL,L 10-26,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,19%,False,Ryan Succop,False,10,26
